
《16.将进酒》

01.IW-ST-1 客将至
"老鲤": 唉，谁都有年轻的时候，要挤眉弄眼装出一副样子来，好个面子。
(震动)
"杜小姐": ——谁、谁好面子！？我那是——
"老鲤": 和掌柜的吵架了？
"杜小姐": ......呵。
"杜小姐": 我发现你这人，实在可怕得很。
"杜小姐": 看起来散漫慵懒，万事不在意，其实心里面什么都清楚——这样的人，最可怕。
"老鲤": 起码我不会第一次和人见面就抄起板凳砸人。
"杜小姐": ......
"老鲤": 说说吧。谈买卖，还是要实诚一点。
"杜小姐": 郑掌柜......爹他接了朝廷贵人的委托，要取得你手里的盏。
"老鲤": 能猜到个大概，可是你先前还在帮令尊，这会儿怎么就改了主意？
"杜小姐": 多的我不便说，只是，我不希望爹这件事办成。
"老鲤": 所以？
"杜小姐": 我不说原因，你是不是就不相信我？
"老鲤": 明知道答案的问题可以少问，这样显得更有城府。
"杜小姐": 如果这件事办成了，无论我做了多少，爹都会把功劳算在我头上。
"杜小姐": 镖局仇家多，对头也多。何况现在信使行业发达了，镖局家大业大，却还守着那些老规矩，更是慢人一步，容易遭人排挤。
"杜小姐": 所以爹总说，要我知道藏拙。
"杜小姐": 装成一个纨绔子弟，每天花天酒地，就不会有太多人注意到我。
"杜小姐": 然后，我再默默替朝廷办好几件差事，一来交好人情，二来，也算让手下们心服口服。
"杜小姐": 这样，爹把家业交到我手上，他就放心。
"老鲤": 掌柜的就是掌柜的，会打算盘。
"杜小姐": 可这算盘上没有我。
"杜小姐": 要继承镖局的杜遥夜也好，整日混吃等死的杜大小姐也好，都是别人期望我变成的样子。
"老鲤": 你想借此机会逼得郑掌柜撒不了手，自己就正好不去当这个新任大掌柜？
"杜小姐": 是也不是。
"杜小姐": 朝堂大员来委托镖局的情况着实少见，这笔买卖要是出了岔，爹不可能就这样把镖局交给我。
"杜小姐": 不少年轻同辈，都指望靠我给大家寻一条出路。我和他们说，只要爹这笔生意黄了，那镖局自然就是年轻人说了算。
"老鲤": 可你老老实实等着你爹把衣钵传给你，不是也一样？
"杜小姐": 不一样。那只是让我们服从安排罢了，传承到我手上，我就必须听规矩办事。
"杜小姐": 何况“规矩”可不止是我爹。
"老鲤": 所以你打算来找我......呃，帮忙，其实是为了和我演一出戏咯？
"杜小姐": 没错。
"老鲤": 杜遥夜......是小姐的名字？
"杜小姐": 干、干嘛？
"老鲤": 靓杪秋之遥夜兮，心缭悷而有哀。遥夜遥夜，遥遥长夜，不错的名字。
"杜小姐": 可惜本小姐更喜欢黄昏出游。
"老鲤": ......既然是买卖，那你打算替我做些什么？
"杜小姐": 有人想要你手里的东西，朝廷的人，可你没给。你知道这意味着什么。
"老鲤": 可我的朋友也没让我给啊，我的朋友何尝就不是朝廷的人？
"杜小姐": 梁大人专程托你来，应该有别的事吧？
"老鲤": 小事罢了。
"杜小姐": 随便吧，我不感兴趣。只是事到如今，无论你打算怎么做，都别想置身事外了。
"杜小姐": 至于我，会是你的帮手。起码，我能保证最后你安然无恙回去龙门。
"老鲤": ......有道理。
"老鲤": 那么一言为定。
"杜小姐": ......一言为定。
"杜小姐": 呵呵，你倒是比我想的好说话。
"杜小姐": 放心吧，虽然我确实不太想当那个掌柜，但如今年轻同辈里可不少人都对长辈们颇有微词，他们现在都听我号令。
"老鲤": ......你嘴上说不想当镖局接班人，可你难道不正做着一样的事？
"杜小姐": ......时代不同罢了。
"老鲤": 说的是，说的是。
"杜小姐": 总觉得你藏着什么话，算了，再待下去被察觉到就麻烦了。
"杜小姐": ......呃......
"老鲤": 鄙人姓鲤。
"杜小姐": ——好，姓鲤的，我们后会有期！
"老鲤": ......那掌柜的看着慈眉善目，也有这么个女儿啊......
"老鲤": ......

(灰幕)
"槐琥": ......鲤叔。
"老鲤": 嗯？
"槐琥": 你要去找梁叔，对吧？
"老鲤": ......是啊。唉，真不想跑这趟远门......
"槐琥": 我......
"老鲤": 你老爹的事，我会额外留意的。
"老鲤": 运气好的话，我还能把他揪回来。
"槐琥": ......嗯。
"槐琥": 谢谢。
"老鲤": ......唉，别这样，可别抱太大指望啊。
"老鲤": 大炎幅员辽阔，想找一个不想被找到的人，谈何容易。
"槐琥": ......
"老鲤": ......槐琥。
"老鲤": 你应该知道，要真打算找到他，真打算痛斥他责备他质问他，哪怕你不计前嫌，只想对他撒撒娇，你都得亲自去。
"老鲤": 只有你赶上你那个疯老爹的背影，他才会回头看你。他就是这样的人。
"槐琥": ......
"老鲤": 我会在尚蜀待一段时日。如果有他的消息，我会告诉你。
"老鲤": 你要是......做好了准备，就去找我。
"槐琥": 我......
"槐琥": 我知道了。

(灰幕结束)
"老鲤": ......唉。
"老鲤": 梁洵那小子，还没说接下来要做什么，就把客人这么晾在一边......
"老鲤": 嗯......茶不怎么样，这茶壶倒是有几分漂亮。茶壶......确实漂亮。
"老鲤": ......嗯......笔墨纸砚......这客房倒是古色古香的。梁洵的审美情趣真是从没变过。
(震动)
"老鲤": （哈欠）

"老鲤": ......唔。舟车劳顿，累了，累了。
"老鲤": 不如小憩片刻，折腾来折腾去，困死个人——

"老鲤": ——
"老鲤": ——这里是？
"奇妙的物件": 嗷......


  <行动后>


“尚蜀山峦多栈道，峰回路转现长烟。”
这块标牌突兀地杵在这里，标牌是新的，字是新的，只有标语是老的。
而山是老的，石台阶是老的，索道和人，又都是新的。
我摸了摸头，发梢并没有像想象中那般湿成一团。无法言说的感觉正如醍醐灌顶，浸染身心。
所有清晰的关于白天的记忆都在迅速远去，可当你需要时，它们又会贴心地钻回脑海。

我决定向上走。
我也不知道为什么要向上走。哪怕我确信此刻左脚踩右脚就能触碰天空，我也选择了一步一个台阶地向上走。
就像是响应诚意一般，又一块牌子出现在了栈道拐角。
新的牌子，新的字，如同所有刻着到此一游的景区标牌那样。
“攥江峰”。
"老鲤": 攥江峰......这是哪里？
"老鲤": 喂——有人吗——
"老鲤": ......
"隐隐的回音": 喂......有人吗......
"老鲤": ......罢了，既来之则安之，既来之则安之。

"老鲤": （......远处好像有个亭子。）
"老鲤": （怪了，我怎么记得在哪里见过......）
"扫雪的路人": 这个点不常有人来的，你要去那个亭子那儿？
"老鲤": 啊，不是......只是看看。
"老鲤": 这里是......
"扫雪的路人": 攥江峰。
"老鲤": 尚蜀三山十七峰之一？
"扫雪的路人": ......是十八峰啦。
"扫雪的路人": 那个亭子路很不好走的，也不知道是谁那么闲，在那儿建了个亭子。
"老鲤": ......好像有人？
"扫雪的路人": 有的啊，没人要亭子做什么。
"老鲤": 你在这里扫雪？
"扫雪的路人": 是啊。
"老鲤": 山顶没什么人吧？
"扫雪的路人": 扫了雪才有人来呀。
"老鲤": 谁会来？
"扫雪的路人": 天知道，你不就来了？
"扫雪的路人": 亭子里的人是不是在向你招手？
"老鲤": ......有吗？
"扫雪的路人": 多留意脚下。
"扫雪的路人": 雪天路滑。

"杜小姐": ......都在这里了吗？
"街头青年": 是啊。
"街头青年": 师傅们不让我们掺和，大掌柜的又天天忙他的酒楼客栈，不想混吃等死的，都在这儿了。
"软弱的学徒": 真不需要听郑......郑掌柜的，退一步行事？
"街头青年": 啊？听他的？听他的大家一起改行当厨师啦，还学什么武艺？
"街头青年": 其他地方的物流公司，哪个不是风风火火的？大掌柜宁可改行开餐厅都不乐意打破那些规矩和物流公司竞争，我看他是老糊涂了。
"软弱的学徒": 在郑掌柜眼里，做餐饮生意也是正经买卖，可砸了招牌变成行裕物流，他是绝对不同意的......
"街头青年": 你说为啥啊？
"软弱的学徒": 你问我，我哪知道啊。
"杜小姐": 郑老头这些年有多怕事，你我心知肚明。干镖局这么多年，临老了才悟过来，一辈子光得罪人了。
"杜小姐": 再这样下去，没人砸镖局招牌，镖局也一样会完蛋。
"街头青年": ......但这次，是笔和朝廷有关的大生意来着？故意搞砸，会不会有问题？
"杜小姐": 就因为是大生意我才打算这么做，本小姐自然有分寸。
(震动)
"远处的叫喊声": 有贼！抓贼！！
"远处的叫喊声": 别让他跑了！！
"街头青年": 呃......杜小姐，这也是你安排的？
"杜小姐": ......当然不是！快跟去看看！

"宁小姐": 您的朋友好像都睡下了。
"梁洵": ......时候其实不早了。
"宁小姐": 只是闲聊几句就到这个时辰了？
"宁小姐": ......那看戏的事？
"梁洵": 再说吧，你应该先养好身体，尽量别出门了。
"梁洵": 照顾好自己。
"宁小姐": 总有些比身体抱恙还要紧的事，我才会特地出这趟门的呀。
"梁洵": ......看戏吗？
"宁小姐": 嗯哼。
"梁洵": 可我终归有公务在身，脱不开身。
"宁小姐": 梁大人这是在责备我游手好闲？
"梁洵": 岂敢。
"远处的叫喊声": 有贼！抓贼！！
"梁洵": 唔......贼？
"宁小姐": 真稀奇，梁府也能遭贼？
"梁洵": 你先进屋去，我去看看怎么回事。
"宁小姐": ......

"梁洵": 什么情况？
"乌有": 哦，梁大人，我也刚到......
"梁洵": ......你们是鲤的客人，也就是我的客人。让你们受惊，实在是有违待客之道。
"杂役": 梁、梁大人，刚才我准备收工回家，突然看到墙上有个人影......
"梁洵": 人影？
"杂役": 是、是，好像还抱着一只盒子......
(震动)
"梁洵": ......！
"梁洵": 去鲤的房间，快！

"老鲤": 那位扫雪的姑娘说得没错，路确实难走。特别是我辛辛苦苦走上来，反而不见人影了。
"老鲤": 喂，你还在吗——？
//////  我在。  //////
"老鲤": ......这里究竟是哪里？
//////  行山止境，换言之，就是山顶。  //////
"老鲤": 你要我来这里做什么？
//////  是你让我来的。  //////
"老鲤": 我？
"老鲤": ......我......
"老鲤？": ......对了。
"老鲤？": 我是来......找你叙旧的。
//////  手谈一局？  //////
"老鲤？": ......不了，没有悬念，算不得乐趣。
//////  哎呀，这么看不起我。  //////
//////  那就是来找酒喝的了？  //////
"老鲤？": 只是给你带了件薄礼。
//////  几十年不见，礼轻情意重。  //////
"老鲤？": 几十年而已，弹指一挥间。
//////  ......这是？  //////
"老鲤？": 黑白一对，如光影相生，阴阳调和。
"老鲤？": 你选一只吧，另一只，我便自己留着了。
//////  唔。  //////
"老鲤？": 怎么？不喜欢？
//////  你骗得过别人，甚至能骗过其他兄弟姐妹，可你唯独骗不了我。  //////
//////  你......  //////
//////  就不怕满盘皆输？  //////
"老鲤？": 怕，也不怕。
"老鲤？": 再说，只是大势所迫罢了——
//////  ——  //////

//////  ——鲤！  //////
//////  老鲤——！  //////

(震动)
"老鲤": ——！
"老鲤": 唔......刚才那是......梦？
"梁洵": 你没事吧？
"老鲤": 我还没到睡个觉就会出事的年纪......怎么了？
"乌有": ......鲤先生，刚才有人说看见了小偷，抱着与您那只相同的匣子飞檐走壁逃了。
"梁洵": 匣子不见了？
"老鲤": 你说那只酒盏啊......没事，在我这呢。
"梁洵": 你是怎么......
"老鲤": 放匣子里的是我刚才顺手从橱柜上顺下来的普通茶壶，拿墨水染了个漆黑。
"老鲤": 我还没有傻到明知有人盯上这玩意，还不留个心眼的。
"乌有": 鲤先生真如同克洛丝恩人所说，一颗七窍玲珑心，绝无纰漏啊。
"梁洵": ......
"老鲤": 梁大人。
"老鲤": 能为了这一只破古董就招惹一城知府，如果天底下的贼都是这个态度，近卫局只用等在煎饼摊前就好了。
"老鲤": 这东西到底什么来历？
"梁洵": 该告诉你的，我会告诉你的。
"梁洵": 这也是我要拜托你的第二件事。
"梁洵": 找到它的主人。
"老鲤": ......原来如此。确实是个用得着侦探的工作。
"老鲤": 不过在此之前......乌有兄，你的克洛丝恩人呢？
(震动)
"乌有": 呃......难、难道追出去了！？
"乌有": 我去看看！

"克洛丝": ......
"克洛丝": （一路追到这里......但这里的夜市也太热闹了点吧？）
"克洛丝": （竟然跟丢了吗。）
"克洛丝": （总之选个方向试探一下......）
(震动)
"克洛丝": 啊，抱歉——
"杜小姐": ——你是，白天的——
"克洛丝": ......
"杜小姐": ......是不是我说“不关我事”，也没用了？
"克洛丝": 我还什么都没说呢。
"克洛丝": 换位思考一下嘛，刚到尚蜀，就碰上有人抢劫自己的朋友，还连抢两次，说是巧合你信吗？
"克洛丝": 不过我也可以听你狡辩两句就是啦。
"杜小姐": 哼。
"杜小姐": 那就是多说无益了！

"老鲤": 我去这边看看。你往那边走。
"乌有": 好！劳烦鲤兄了。
"老鲤": 慢着，乌有兄。
"乌有": 怎么？
"老鲤": 你......脚边那是什么？
"乌有": 嗯？什么也没有啊？
"老鲤": ......
"老鲤": ......似乎只是我眼花了，大概是什么宠物吧。
"老鲤": 我们走。
"奇妙的物件": ......



04.IW-3 光与影



"郑掌柜": ......东西不对。
"左乐": 事情如果有这么简单，那我倒要担心梁先生挑人的眼光了。
"左乐": 郑前辈，关于那个龙门来客，身份可知晓了？
"郑掌柜": 是梁洵的好友。
"左乐": 有没有什么别的身份？
"郑掌柜": 虽然有几处模糊不清的线索，但至少有一事可做担保，此事与魏公绝无联系。
"左乐": ......如此一来，家父最大的顾虑，也就不复存在了。
"左乐": 想来也是，若是以龙门魏公的手段......恐怕咱们现在，也别指望安安静静喝茶了。
"郑掌柜": 早年听闻过不少魏公逸闻，一直没机会去龙门一睹风采，很可惜。
"左乐": 没想到掌柜的也会对魏公此等人物感兴趣。
"郑掌柜": 早年用刀，行走江湖。听闻魏公剑法卓绝，如此而已。
"左乐": 原来是这样。魏公确实佩剑......不过剑法一事，我也只听闻过一些传闻罢了。
"左乐": 可这样的话，挑那个龙门人入局的，岂不变成了梁先生自己？
"郑掌柜": 多半是。
"左乐": ......嗯。那个龙门人是唯一的变数，也是梁先生唯一一枚子。
"郑掌柜": 梁大人本该是我们的人。他挑选的对象，也不该骗我，不该有这一记无理手。
"左乐": 梁先生也是个身不由己的苦人儿。要是......唉，也没那么多要是。
"左乐": 不正是因为她在尚蜀，才整出了这么多麻烦吗？
"郑掌柜": ......三山十七峰，有仙则灵。
"郑掌柜": 古时，尚蜀多梦，不仅人有梦，万物皆梦中。俗话说，众物有灵皆神仙，万语千言只一呵。
"郑掌柜": 传闻千年之前，那会的大炎城镇分布，与现代大不相同，尚蜀人的祖先们正是梦见了同一个梦，才来此地安居乐业。
"左乐": ......尚蜀传说总是如此悠扬壮美。
"郑掌柜": 外人看是传说，本地人都觉得这是历史。
"左乐": 那个医疗公司的干员......是叫克洛丝来着？
"左乐": 若非郑前辈接应，我怕真会在街上被她追上，还要谢过前辈。
"郑掌柜": 先前小女操之过急，险些误事，我出手相助，算是补救，理所当然。
"左乐": ......罗德岛到底是个变数。掌柜怎么看？
"郑掌柜": 局外人罢了。
"左乐": 可他们离桌子太近了。
"郑掌柜": 嗯......其实那样的身手可不多见，先前看她追逐时的动作，我心中已经有数了。
"左乐": ......大约是个什么印象？
"郑掌柜": 年纪轻轻，身经百战。
"左乐": 哦？这个身经百战，是以郑掌柜的眼光来看，还是以问霜客郑清钺的眼光来看呢？
"郑掌柜": 都是。
"左乐": ......郑前辈一直在看这只假盏。
"郑掌柜": 我只是在回忆......回忆那只酒盏原本的样子。
"左乐": ......
"郑掌柜": ......那年过荒野，遇到了一伙贼。荒野上的人，连大炎话都听不懂，不知道是从哪里冒出来的。
"郑掌柜": 他们炸翻了车队，想抢走货物，但是被镖局的同僚阻拦了。可劫匪人数众多，贼心不死，一路尾随了我们二百里地。
"郑掌柜": 当时下大雨，视野模糊，灯火扑朔，那些熟悉地形的劫匪就像影子一样黏在身后。
"郑掌柜": 我们不敢反击，怕暗箭。也不敢一股脑地没命逃，怕逃不出。
"左乐": ......晚辈只听说，司岁台曾秘密委托名震一方的行裕镖局，押运一件奇物。中途发生了意外，那物下落不明......
"郑掌柜": 是我的错。
"左乐": ......我不会说什么安慰人的话语，郑前辈。
"郑掌柜": 我只是没想到，再一次遇到那么咄咄逼人的弓弩好手，竟然是在我的家乡，在城内，在一个灯火通明的夜晚，因为同一只酒盏。
"郑掌柜": 实在是......一言难尽啊。
"左乐": ......后来郑前辈是如何脱险的？
"郑掌柜": 哪次？
"左乐": 啊......自然是过去那次。家父说了，晚辈年轻，缺乏眼界阅历，要多向各位前辈学习。
"左乐": 既然前辈提起了话茬，那晚辈自然洗耳恭听。
"郑掌柜": 那晚啊......只是运气好。
"郑掌柜": 负伤的两个好伙计，再没能挺过来，瞑目了。
"郑掌柜": 镖局的规矩是“先救货，再救人”，既然做这行，就得有准备。
"郑掌柜": 不过队伍里没了伤员，货也未必保得住了，倒反而能放开手脚。
"郑掌柜": 那晚雨大，正好洗刀。

"老鲤": 找到这只酒盏的主人就好？
"梁洵": 没错。
"老鲤": 所谓主人，是说买家或者收藏家一类的？
"梁洵": 不算是，如果这么简单倒好办了。
"老鲤": 咦，这就奇了怪了，虽说这酒盏确实便宜得吓人，但根据从那些走私贩手里抢来的黑市鉴定报告来看，似乎......
"梁洵": 是件货真价实的古董。
"老鲤": 对方是谁？
"梁洵": ......我还不知道对方的名字。不仅如此，它的主人是男是女，是何种族，又有多大年纪，都不知道。
"老鲤": 这......这要如何找起？人确定在尚蜀？
"梁洵": 只有这一点毫无疑问。
"老鲤": 为什么？万一这个人出门远游一趟，我们不是要白费十天半个月的功夫？
"梁洵": 不，那个人一定还停留在尚蜀。
"梁洵": 如果那个人离开过......那一定会有人通知我。
"老鲤": 稀奇。明明能一直监视对方，却找不到他？
"梁洵": ......没错。
"老鲤": 难道对方是什么妖魔鬼怪或者得道神仙？
"梁洵": 你见到了，自然会明白。
"老鲤": 多半是有什么“他在这儿”的痕迹吧，这年头当官的都要和这些玩意打交道了？
"老鲤": 行吧，你不说我也不多问了，只是这丁点线索......尚蜀那么大，对吧？
"梁洵": 多半藏在三山之中的某座山头。
"老鲤": 有说法吗？
"梁洵": 有些。此人性情叵测，可极其偶尔会出现在一些山腰酒铺买酒，毫无规律。
"梁洵": 只不过此人从未下山，也从未出现在移动城区之中。那么多半是在山上了。
"老鲤": 好吧。三山十七峰，看来有的跑。
"梁洵": 传说此人好良辰，好美景，更好卧居凉亭，吟诗作乐。
"老鲤": 传说？
"梁洵": 其实不光是传说......
"老鲤": 你认识？
"梁洵": ......不算认识。
"梁洵": 可眼下确实只能拼拼运气，有劳了。
"老鲤": 时限呢？
"梁洵": 越快越好。你也看见，这件事牵扯的人很多，再拖下去，会节外生枝。
"梁洵": ......还有这只酒盏。既然有人觊觎，还是放在我府上安全些。
"老鲤": 梁大人果然厉害。先让我不远万里把酒盏送来，然后要我找它的主人，却又不把它给我？
"老鲤": 若是梁大人这么喜欢为难人，那下次，不如直接安排我在龙门帮你的忙？
"梁洵": 这是信得过你。
"老鲤": ......既然有人盯上它了，我一直带着，确实也有可能变成麻烦。
"老鲤": 而说到行裕客栈那事......
"梁洵": 在查了。小心行事，如果有必要，我可以安排人手陪着你。
"老鲤": 免了，一大箩筐保镖，人多眼杂反而麻烦，你心里清楚。
"梁洵": ......可你一个人真没问题？
"老鲤": 如果梁大人没有什么事情还瞒着我，那就没问题。
"老鲤": 找个人嘛，又不是在龙门调查可怕的外国走私贩，能有什么麻烦的？
"梁洵": ......还是和慎师傅打声招呼吧。他是码头熟工，在尚蜀，去哪儿他都能帮上忙。
"老鲤": 行。
"老鲤": 不过，说起来......
"老鲤": 尚蜀三山十七峰里，有攥江峰这么一个山头吗？

(震动)
"杜小姐": 你、你这家伙，怎么这么难缠！
"克洛丝": 因为你是最后的线索嘛，哪能这么容易让你逃掉呢。
"克洛丝": 你的那些小喽啰都已经走散了喔，这么繁华的市区，也不方便舞刀弄枪的吧？
"杜小姐": ......哼。
"杜小姐": 那个龙门贼人给了你多少钱，你要这样护他？
"克洛丝": 虽然我不清楚事情的全部经过，但鲤先生是我们重要的合作人之一。
"杜小姐": 合作？听着就像做生意的事，怎敢轻言信任？你就这么确定他没有骗你们？
"克洛丝": 我相信罗德岛，所以我也相信他，仅此而已。
"杜小姐": ......哦？看来我们是互相说服不了咯？
"克洛丝": 似乎是。
"克洛丝": 但郑掌柜可说了，这件事不该再让你节外生枝。
(震动)
"杜小姐": ......！
"克洛丝": 哦......看你这反应，还真给鲤先生猜中了？掌柜的和你真是一伙的？
(震动)
"杜小姐": 你......你钓我话！？不过是个来路不明的外人，竟敢这么愚弄本小姐！
"杜小姐": 好啊，我看不让你吃点苦头是不行了！
"克洛丝": ......要动真格的了？
"克洛丝": 好呀，我其实也有一些事情要问你——和鲤先生无关的问题就是啦。

"左乐": 那位杜大小姐......
"郑掌柜": 是我女儿。不成气候，让公子笑话了。
"左乐": ......不，既然是前辈的家务事，晚辈不该随意置喙。
"左乐": 郑前辈在家乡开了多少客栈酒楼？
"郑掌柜": 呵呵......毕生积蓄全用来做生意了，所幸这些年，几个老伙计都还比较照顾我。过去混江湖积累的人脉，也派上了点用处。
"郑掌柜": 唉，闯荡江湖要看人脉，可最终，还是要靠本事。做生意就是两码事了，想起家，要看本事，但想要做大，还真少不了人脉。
"郑掌柜": ......不过这些薄物细故，公子也不必知道了。
"左乐": 没有的事，家父一直说，晚辈这些年轻后生，缺的不是能耐，不是信念，而是对周遭生活的了解。
"郑掌柜": 活出一个空中楼阁，总归不算真的活着。
"郑掌柜": 左将军是个好父亲。可你父亲怎么认为是没用的，重点在......你怎么认为。
"左乐": ......
"郑掌柜": 别介意，年少轻狂嘛。真有不服的时候，好奇的时候，锋芒毕露的时候，也没啥大不了的。
"郑掌柜": 我反倒以为，年轻人，不该太早失了锋芒。
"左乐": 受教了。
"郑掌柜": 唉......也不光是说给你听的，说起来简单，做起来难，我也是说给自己听的。
"郑掌柜": 我那女儿哟......头疼，头疼。

(震动)
"杜小姐": ——呵！
"克洛丝": 唔。身手还不赖嘛。
"杜小姐": ......根本就没碰着你，别装蒜。
"克洛丝": 怎么动起手来就和变了个人一样......小乌有也有这种感觉，你们大炎人都这样？
"杜小姐": 我只是不想伤人。
"克洛丝": 在你眼里，我们不是偷了东西的贼吗，对待小偷而言，是不是太温柔了点？
"杜小姐": 少贫。
"克洛丝": 这次不上当了啊。
"杜小姐": 呵......那咱们互相都坦诚一些，如何？
"克洛丝": 好啊，我不反对。但提前说好哦，我可没有替鲤先生发言。
"杜小姐": 无所谓，你和那个神棍似的蓬头小哥，都不是省油的灯。早点把话说开，对大家都好。
"杜小姐": 你说你是做什么的？
"克洛丝": 罗德岛行动干员，代号克洛丝。
"杜小姐": ......那个叫乌有的也是代号咯？
"克洛丝": 差不多吧。虽然还没正式入职呢。
"杜小姐": 隐姓埋名，笑里藏刀，你们这些人真是够装腔作势的。
"克洛丝": 欸......我还是第一次被人这么说......
"杜小姐": 有人委托我们拿回那个龙门人手里的酒盏。
"克洛丝": 大炎话博大精深，我还没怎么好好学习，不过“拿回”这个词，是不是太取巧了点？
"克洛丝": 我信得过鲤先生，如果真有什么诉求和误会，为什么一定要动手呢？
"克洛丝": 这里可是大炎腹地，又不是叙拉古或者玻利瓦尔之类的地方......暴力可不提倡哦。
"杜小姐": 先兵后礼当然是有理由的......不过，你真的什么都不知道？
"克洛丝": 哎呀......这次轮到我被套话了？
"杜小姐": ......
"杜小姐": 你要是不知道的话......我劝你不要深究为妙。我私下已经找过那个龙门人了，你要是一意孤行，就是坏了所有人的事。
"克洛丝": ......你倒是光明正大。
"杜小姐": 既然我们敢光明正大行事，一定有光明正大的理由。
"杜小姐": 只是话都说到这个份上了，不管你信不信，我都要告诉你——
"杜小姐": ——劫梁府的人不是我。
"克洛丝": 但你知道是谁。
"杜小姐": 也许吧。
"克洛丝": 既然你说你找过鲤先生......那我们暂时休战？你能答应我，给我们一个合理的交代吗？
"杜小姐": ......交代？
"杜小姐": 你说那个龙门人是受我们梁大知府所托，从龙门运来了这一只酒盏——
"杜小姐": ——可委托镖局的人，恐怕他梁洵也得罪不起。
"克洛丝": ......什么？
"杜小姐": 其中缘由，剪不断理还乱，就别指望我告诉你了。
"街头青年": 大小姐！
"乌有": 恩人！您没事吧！
"街头青年": 你这家伙，也是来坏我们好事的吗！？
"乌有": 我还什么都没说啊！？
"街头青年": 动手！
(震动)
"杜小姐": ......哼。话说得也够多了，本小姐今天就先告辞了。
"杜小姐": 你们，走了，别和那人纠缠！
"街头青年": ——好！
"乌有": 喂，说要动手又不打，怎么每次就知道欺负我啊！
"克洛丝": ——等等！
"杜小姐": 看你身手不错，也明白事理，那本小姐就奉劝你一句——
"杜小姐": ——山湍涧流，浪急水深！别瞎掺和了！
"乌有": 恩人。
"克洛丝": ......我没事，别担心。

"街头青年": 杜小姐，没事吧。
"街头青年": 那两个人不是和龙门人一伙的吗？干嘛不直接告诉他们真相？
"杜小姐": 我自有打算。
"街头青年": 哦......
"杜小姐": ......郑老头想这么简单把事情甩给我，没门。
"杜小姐": 我和那个龙门人已经谈好了。我看镖旗风吹雨打这么些年，也该换换了。


  <行动后>


晌午，晴，仿佛前一日的风雨欲来只是个不痛不痒的玩笑。
尚蜀三山十七峰，第二高山，是居奇山。而居奇山只有二峰，其中第二高的峰，即是泥泥峰。
泥泥峰又有二千二百二十二级台阶，本来没这么凑巧，是为了取个噱头，后来特地加算进去的。
台阶向天，穿云踱雾。愈往高处，游客越少，人踪渐薄，徒留青山。
而零星可见的身影，一眼望去，皆是挑夫。
"茶馆歇脚人": 虽然比不得天岳，可当真是一座高峰啊。
"茶馆歇脚人": 你说这些修不得公路的半山腰上，是怎么建起一家家茶馆凉亭的？
"茶馆观光客": 嗨，能怎么的，靠人力呗。
"茶馆观光客": 咱们上来的时候，不是看见一个挑夫走下山去嘛？他们每天就这一趟趟的，小到干粮茶水，大到石砖青瓦，不都是挑上来的。
"茶馆观光客": 听说他们一趟路要爬个好些时辰，辛苦得很。就算到了今天，有些偏僻山头啊，还是离不开挑夫......
"茶馆歇脚人": 就不能拉个索道，或者起个吊车之类的？
"茶馆观光客": 那也得先有个施工的地儿吧？
"茶馆歇脚人": 也对，不过我也不太明白这是怎么整的......不过他们还真了不起啊。
"茶馆歇脚人": 他们应该赚挺多吧？
"茶馆观光客": 以前不多，不过前段时间看新闻说，尚蜀知府非常重视这些卖力气的，甚至这些茶馆的茶水都是政府掏钱免费提供的......呃？
"挑山人": ......抱歉，让让。
"挑山人": 晌午茶。
"茶馆伙计": 好嘞，尚师傅。
"茶馆伙计": 最近怎么样？有几天没见着你了......
"挑山人": 不怎么样。
"茶馆伙计": 做什么去了？
"挑山人": 看望我儿子。
"茶馆伙计": 啊......又到了这个时候啦......我都忙忘了。
"茶馆伙计": 尚师傅早点打声招呼，我们可以陪着去的。
"挑山人": ......算了吧。
"挑山人": 他喜欢清静。
"茶馆伙计": 唉，都过去好多年啦......我是和你熟悉，才和你说这些话，你别介意啊。
"茶馆伙计": 人总是要向前看的。
"挑山人": ......你在替郑清钺说话？
"茶馆伙计": 废话，我们这家店都是郑掌柜投资的。
"挑山人": 拿人钱，替人说话，那我就不怨你了。
"茶馆伙计": 也有一半是真心话。
"挑山人": ......那我怨你一半。
"茶馆伙计": 这么多年了，多劝你一句不多，少劝你一句不少。
"茶馆伙计": 好好喝茶，好好想想。
"挑山人": ......
"茶馆歇脚人": ......我们刚才在山路上，是不是看见过那人下山？
"茶馆观光客": 是、是啊？这才多久？爬回来了？
"茶馆观光客": 应该是路上遇到同事，接了个力吧......不然这才半个时辰，就从半山腰到这儿走了个来回？

"克洛丝": ......不行，联系不上。
"克洛丝": 通讯没有反应，就说明年和夕还不在尚蜀地界......也可能他们根本没有按照行动守则行动。
"乌有": ......恩人。
"克洛丝": 嗯，我知道你要说什么。
"乌有": 虽然我不是什么过目不忘的聪明人，可我要是没看错......
"乌有": 鲤先生交给梁先生的那只匣子，和那位年小姐当时手里的东西，是一个图样。
"克洛丝": 果然和她们俩的突然离队有关。
"乌有": 恩人，咱们怎么办？
"克洛丝": 嗯......其实我也不是没有预料到这个情况。
"克洛丝": 我和小炎熔说好啦，等她到了办事处，立刻联络尚蜀附近的干员来接我们。
"乌有": 呃？原来恩人早有准备？
