
《32.怀黍离》

01.HS-ST-1 禾下梦
"小满": 黍姐姐，那个哑巴大叔到底是谁？他为什么不和大家住在一块？
"黍": ......他得了一种病。怕传给别人，就自己一个人搬到这来住了。
"小满": 啊......
"黍": 小满，他们都怕这个大叔，你不怕？
"小满": 还是有点怕的......
"小满": 前几天我在找绵绵的时候还看到他了，他看起来没大家说的那么可怕，他只是拎了把斧子，又凶巴巴的。
"小满": 但我看得出来，大叔人不坏，他凶我的时候，眼神和小禾批评那些没做作业的学生是一样的。
"黍": 你还真是机灵。
"小满": 我养牧兽的时候，落单的小兽很容易变得很凶，不亲人。
"小满": 这种时候，我就专门安排他和别的牧兽一起吃饭一起玩，很快他和其他小兽也没什么不同了。
"小满": 我想着，可能有人陪大叔说说话，他也就能开心一点了......他一个人留在这，也怪可怜的。
"小满": 黍姐姐，大荒城有这么多厉害的天师，都不能治好大叔的病吗？
"黍": 可能有一天，可以吧。
"小满": 黍姐姐......大叔的病，和传说里的怪物有关吗......？
"黍": ......为什么这么问？
"小满": 我有时候会做梦，同一个梦，梦见了好几次。
"小满": 梦里就在这里，这个堤坝，有时候还有这个哑巴大叔，他站在堤坝上。
"小满": 我梦见天气变得很糟很糟，一会旱一会涝，天上飞来好多怪东西，都是从河对岸飘来的......
"小满": 田里的秧苗全都死了，粮仓里的粮也不够了......
"黍": 这件事......你有没有和别人讲过？
"小满": 怎么回事，好大的雷！
"黍": ......
"黍": 小满，跑回去。

"醉酒的职农": ......下雨了？
"微醺的职农": 下雨......下雨不正常吗？都这个天了......
"禾生": ......
"禾生": 天色感觉有点不对劲......
"微醺的职农": 管他呢！嗝儿——天师都没说什么，又不会有天灾——
"微醺的职农": 就是今天这个日子下雨，实在是扫兴。
"禾生": 可田里的水，怎么看上去这么浑......
(震动)
"禾生": ......不对！
"左乐": 怎么了？你上哪儿去！
戏台上唱段未停，雷声随着鼓声渐浓，敲鼓的手还在卖力演奏，豆大的雨点已经击在地面上，洇开一片水色。
(雷阵雨)
随即，阴云急速聚拢起来，如墨水倾倒，浓黑的云相互碰撞，撞出数道闪电，隐隐闪耀在如庞然巨物般的厚云中。
暴雨从云中扑下，直奔着土地而来。农田还没来得及被激起飞扬的尘土，就已经被接下来的雨水所淹没。
一小丛源石静静地绽放在农田中。
稻穗垂下头，看向这朵小小的黑色的花。


  <行动后>


//////  这样的灾，我们还要遇上多少次......？  //////
//////  刚长出来的嫩苗、压弯的稻穗、硕果累累的枝头......一场天灾下来，只剩下一大片毫无生气的土地。  //////
//////  蝗虫会啃食掉作物所有的茎叶，大旱、雪灾、低温、洪水，数不胜数......  //////
//////  初春的一场霜冻差点要了大半新苗的命，我们不知守了多少天才保住剩下的一点。  //////
//////  还要努力多久，才能让所有人都吃饱肚子？  //////

节日热闹的氛围被一场突如其来的雨浇得凉透。
雨飘飘洒洒停了下来，田间的积水却不见消退，渐渐没过了人的脚踝。
"着急的农业天师": 怎么前面就下了这么一会雨，水都漫到这了？！
"着急的农业天师": 水这么浑......该不会是连带上游的脏土一块冲过来了？再这么下去田全要被污染了！
"着急的农业天师": *炎国粗口*工地上的在干嘛？快排水啊！
"惊慌的农业天师": 出事了！堰口水坝塌了！
"着急的农业天师": 他妈的！开什么玩笑？！

"资深土木天师": 什么情况！
"年轻的土木天师": 不知道上游哪一块源石矿脉炸了，碎屑跟着河流被冲了下来，过闸的时候卷到了堰口轮机里，把坝炸出来一个洞！
"资深土木天师": 之前为什么没发现？！
"年轻的土木天师": 今年水位一直是正常的，之前也没有监测到异常的源石反应，源石活性变化怎么会这么不规律......
"资深土木天师": 见鬼的......偏偏还是汛期，水这么急。
"资深土木天师": 水里面不知道还混着多少源石碎屑，被冲到田里庄稼就全完了，可能还会造成人员感染。
"资深土木天师": 都小心点！大坝本身的裂口一时半会修不好，先分人去下游堵！
"年轻的土木天师": 这河水眼见越来越急，就怕坝体进一步崩塌，该怎么办——
(震动)
"资深土木天师": 怎么办？能怎么办！用源石技艺玩命堵着啊！

(震动)
污水还在蔓延着，田间早已是一片泥泞。
(震动)
"焦急的农业天师": 动作快点！再搬点沙袋来！
"焦急的农业天师": 这片可是试验田，要是被水淹了损失就大了！
"焦急的农业天师": 哎！你的源石技艺不是玩沙子吗？加把劲啊！
"慌乱的农业天师": 你才是玩沙子的......我的源石技艺明明是分析土壤的！唉，试试！
(震动)
职农、天师已经排成长龙，一袋袋沙土经过无数双手传递到岸边，在源石技艺的控制下，筑起一道摇摇欲坠的堤坝。
而堤坝还有最后一个缺口。
"慌乱的农业天师": 有点......勉强......
"左乐": ......！
(震动)
少年抱起一袋沙土跃身而起，想要飞身去堵上那个缺口。只觉得面前一阵疾风吹来，牵绊住了他的脚步。
"禾生": 你要做什么？！
"禾生": 河水里混进去的泥沙里不知道有多少源石杂质，你是想被感染吗！
"左乐": 保护百姓是我的职责......
"禾生": 你凭什么觉得所有人都需要你保护？你和站在这里的人有什么不一样？
"左乐": 我——
"左乐": ......我还能帮上什么忙？
"禾生": 刚才去调查过了，这是堰口水坝破坏导致的洪水......农田原有的排水系统已经超过负荷了。
"禾生": 正是汛期，堰口一时半会也修不好，靠堵是堵不上的，再这样下去，损失只会越来越大......
"禾生": ......听说你是信使，脚程快？
"左乐": 还好......要我做什么？
"禾生": 这种时候大家都乱成一团，还是需要有人去现场组织。
"禾生": 拿着这张地图，去上面标注的这几号地块，找到那里负责的职农，让所有人做好地块移动的准备。
"左乐": 你打算......？
"禾生": 大荒城的移动城市改建虽然只完成了一部分，但还是有一些基本的移动功能。
"禾生": 在水坝修好前，改变大荒城地块排布，利用地块高低差，重新造一个排水系统出来......

(震动)
"资深土木天师": 咳——
巨大的金属铸块融解，填补在坝体的缺口上。
而洪水仿佛是认得出坝体的薄弱处，不断地冲击着裂口，水流从金属的缝隙间喷射出，像利刃一样缓缓割开裂口。
"年轻的土木天师": 老师！您的金属源石技艺根本不是这么用的，再这样下去您是撑不住的，换我来撑一会吧。
"资深土木天师": 退开！
"资深土木天师": 你的那点源石技艺水平，在我这还不够看呢！
(震动)
"资深土木天师": 咳......咳......！
(震动)
"年": 天有洪炉——
"资深土木天师": 年......！
"年": 工厂那边还没忙完，怎么外边又是这么大娄子......
"年": 但是看这洪水阵仗......也真难为你们撑这么久了。
"资深土木天师": 核心城之外的工程，不该让你插手......
"年": 临时救个场也不算破坏规矩吧，你们干工程的怎么比司岁台还要迂腐。
"年": 行了，靠边歇会吧。剩下的交给我就行。

"土木天师": 你要操作大荒城地块的排布？
"禾生": 来不及解释了，我知道大荒城的移动地块还没有完全建好，但还是具备最基本的纵横向移动功能。
"禾生": 只要移动部分地块，就能很大程度上排出农田淤积的污水。
"土木天师": 开什么玩笑！地块的调度权只有荣女士和黍天师才有，别人不可能——
"禾生": 她们都在前面忙着指挥抗洪工作，根本没有功夫。
"禾生": 现在洪水完全没有减弱的势头，每一秒都有数不清的农田、庄稼在受灾，难道你还要拉天师府开大会讨论怎么做吗？
"土木天师": 你——
"土木天师": 我记得你，你是常常跟在黍天师身边的那个天师学徒。
"土木天师": 好......我就相信你。
"土木天师": 可是大荒城大大小小有几十块农业地块，重新排布地块多么复杂，至少也要好几个天师一整天的计算量，你一个人打算怎么做？
"禾生": 不用查了。这片田的地图都在我脑子里，我现在就能给出一个方案。
"禾生": 听我指挥。
"禾生": 甲申号地块，向东移动五格，乙未号地块，下沉五级。
"土木天师": 我......
"禾生": 还愣着干嘛！快操作啊！
"土木天师": 唉！死驮兽当作活驮兽医了！就信你一回！

(震动)
"慌张的职农": 怎么回事？地块在动！
"慌张的职农": 水势，好像小一点了......
"左乐": 大家当心！地块正在移动，注意避险——
"慌张的职农": 你光是告诉我们要避险，让我们上哪去？躲到种植大棚里去吗？
"云青萍": 诸位别慌张，请大家通过通道向丙卯地块方向撤离，那里现在地势较高，可以尽可能远离洪水。
"左乐": 青萍！你怎么在这里？
"云青萍": 我刚才见了禾生兄一面，他告知我他的打算。
"云青萍": 河流是在大荒城的北面，如果想让积水从大荒城西北侧排到西南边谷地的话。需要移动的地块，大概也就是西侧的这几块了。
"左乐": 我竟然完全没有想到......
"小满": 绵绵！别跑！
"左乐": 小满姑娘？
"小满": 小烛台，小毛笔？是你们？大水牛呢？他没事吧！
"左乐": 他......
"左乐": 不用担心，他在安全的地方。
"小满": 太好了！
"小满": 不对，还不好，地块动的时候牧兽们受惊从屋子里跑出来了，快帮我拦一下他们！
"受惊的牧兽": （恐惧的哼叫）
"慌乱的职农": 哎哎！哪里来的牧兽，别撞人啊！
"小满": 绵绵！别乱跑！
"左乐": 站住！前面是地块边缘！

(震动)
"左乐": 夕？！
"左乐": 谁允许你这样使用能力——
"遥远的女声": 磨磨唧唧的，慢得要死。
"遥远的女声": 等你一户户通知过去，水早都淹到家门口了。
"左乐": 你——
"遥远的女声": 竟然还要帮司岁台的人解决麻烦......听好了，就这一次，下不为例。

"慌乱的职农": 我们这是在哪......？这是哪位天师的源石技艺，这么神通？
"惊讶的职农": 快看！
"惊讶的职农": 天好像，要放晴了......

"黍": 唉......
"黍": 大伙都已经拼得精疲力尽了，大荒城也经不起这么一遭了。
"黍": 确实是意料之外的灾害，用这种办法破例帮大家一次，也是情有可原吧......
"黍": 呼......
"黍": 散去。
(震动)

一阵清风吹过。
大片的田地犹如呼吸般起伏。庞大的洪涝被切分成一条条可控制的浊流，悄无声息地流入被规划好的路线。
幸存的牧兽站在地块边上，看着它脚下的洪水退去，用鼻子拱出一片干净的青草，埋头啃食了起来。
阳光透过云层，照在劫后余生的土地上。

"禾生": 大荒城甲申至丙寅地块移动安全结束，积水已全部排入水渠。
"禾生": 报告完毕。

"万侍郎": 损失如何？
"老乡长": 甲申至乙寅地块，都受到了污染。别的地块影响不大，但也要细细排查。
"老乡长": 这些田里的庄稼全部收起来后就拿去处理掉，保守算，在原本就歉收的基础上，夏收的粮还要再少些。
"万侍郎": 都是百姓大半年的心血啊......今年的庄稼，足够完成预定的份额吗？
"万侍郎": 会有多少百姓饿肚子？
"老乡长": 还够。毕竟是多少代人努力的结果。
"老乡长": ......只是，经不起再多变故了。
"宁辞秋": 遭遇了这样的损失，已经不是大荒城内部的事。必须立即上书京城，整体协调炎国今年各地的粮食供给。
"宁辞秋": ......离大荒城最近的玉门年初也遭受了天灾，修缮工作都还在进行中，抽调不出人手来支援。
"万侍郎": 确实。按工部记录，这些年全国各地区的天灾密度都超过了过往数十年的平均值。
"万侍郎": 真是多灾之年......
"老乡长": 大荒城已经是粮产重镇。再让其他城市来支援我们，没有这样的道理。
"老乡长": 移动地块检修不是眼下最紧急的事，大荒城要优先为农粮要务负责。多少块眼看就要得出成果的试验田还没有搬迁到安全的地块上......
"老乡长": 另外，十二楼五城的工程，进度需要放缓。之前抽调过去帮忙的天师，现在全部需要回来抢救剩下的耕地和粮食。
"老乡长": 之后的夏种，已经万万耽误不得了。
"万侍郎": ......
"万侍郎": 我体谅您这边的辛苦，但是延期十二楼五城建设的事，我们是否应该再商议一下？
"万侍郎": 粮食固然重要，可十二楼五城同样是国防重事，朝廷安排秋天前竣工的期限，不是无端决定。其中利弊得失，还需要仔细权衡。
"老乡长": 好啊......你想得周到，你最好现在写份文书，派信使送去京城，拉尚书台好好开上十天的会，再回来给我们安排。
"老乡长": 粮食不是市场上的材料，少了千分之一的粮，不是粮价会涨千分之一。
"老乡长": 是有千分之一的百姓会挨饿。
"万侍郎": 那打起仗来，又会有多少百姓流离失所？
"万侍郎": 也别忘了，“十二楼五城”的起因到底是什么。
"老乡长": ......河对岸的......
"万侍郎": 您知道，不止如此。
"万侍郎": 邪魔问题之外，更有——
"宁辞秋": 二位。
"万侍郎": ......
"老乡长": ......
"宁辞秋": 这不是可以在此地讨论的话题。
"宁辞秋": 慎言。
"老乡长": *炎国粗口*。
"宁辞秋": 利弊得失不是那么容易量化计算的事，但眼前事情轻重缓急十分明确。
"宁辞秋": 夏收夏种涉及大荒城数年的研究成果，乃至千万人的温饱，这件事也决不能耽误。
"宁辞秋": 不如先请天师们帮助这里的职农检查修复受灾土地，这是切切实实一刻也不能耽误的事。
"宁辞秋": 至于十二楼五城的工期，我以礼部名义再去天师府请示，兴许有天机阁的帮助，事情总还有周旋的余地。
"宁辞秋": 若事后朝廷判断此事处理不当，大不了，我来担责。
"万侍郎": ......
"老乡长": 算了吧，要问罪也该是问我，就说是我用刀架在这位侍郎大人脖子上逼他答应的。你还是上一边去。
"万侍郎": ......唉。事儿还没做，现在就开始分责，事儿是做不成的。
"万侍郎": 事情要是出了疏漏，要承担后果的是无数大炎百姓。我们不过是其中微不足道的三个人罢了。
"万侍郎": 既然二位都坚持......我姑且，认可二位的判断。
"万侍郎": 希望二位不要忘记刚才做出的承诺。
"老乡长": 嘁。
"宁辞秋": 没问题。相安无事，皆大欢喜。出了岔子，您大可以推我出去顶罪。
"万侍郎": 呃。不是，我没那个意思，我只是想说情势紧急，要和天机阁通口气——
"老乡长": 大人说得对。我这就去草拟一份详细的受灾报告，方便宁侍郎向天师府天机阁汇报。
"宁辞秋": 那我同样要为此做准备，就先告辞了。
"万侍郎": 二位——呃。
"万侍郎": 唉。
"万侍郎": ......不过，现在至少祸害不到我工部头上。
"万侍郎": 但愿补给的物资，能及时到吧。

咯啦啦啦啦......咯啦啦啦啦......
小满有一脚没一脚地踢着田中的土块。
土块歪歪扭扭地向前滚去，没有一个明确的方向，小满自己闷着头走着，手里甩着路旁摘的稗子草。
"小满": 也不知道这次停电会停多久，天气这么热，绵绵他们心里又害怕，这样下去很容易又闹疫病......
"小满": 饭也不吃觉也不睡，也不知道新搭的屋子他们住不住得惯，急死我了......
"小满": 小禾也是，这几天吃饭都没看到他，他比驮兽还笨，不知道累了要休息的......
"小满": 唉，总觉得天气一年比一年差，庄稼也长得不好......
"小满": 神农真的不管这片地了吗......
她把草叶在手指上缠了又缠，缠成一个圈，又揉成一个团。
小满一扬手，想丢出去，却又想起来之前黍姐姐十指一翻，就能编出一只活灵活现小兽的样子。
"小满": 这些草带给黍姐姐，她肯定能编出来好多东西，可是黍姐姐也好忙，连小烛台都不知道去哪了。
"小满": 我多摘点回去，编好了送给他们解解闷吧。
"小满": 绵绵又跑丢了，唉！
小满抬起脚，狠狠地踢出小土块。
土块撞到了一根水稻秆，旋转了两下，慢悠悠地停了下来。
咯啦。
水稻秆一片浓翠，看不出一丝伤痕。

一场洪水。
地里的庄稼和所有人一样，齐垂下了头。
一片狼藉中，只剩一株稻子兀自直立着。
仿佛是汲取了周围所有的生命力一般，它笔挺地高高举起自己饱满的穗，艳得像在嘲笑周围倒伏下的一切。
周遭事物黯然下去，唯有它如生命般永恒绽放。

小满忍不住，冲着这株稻子伸出自己想要触摸的手。
它鲜红，鲜红。
一头驮兽慢悠悠地走在水稻田的边缘，太阳照在它的身上。
它也鲜红，鲜红。

终于还是走到了这里。
疲惫的人合上了她发红的眼睛。
河流淹没了她的嘴，泥浆糊住了她的眼睛，草木了无生机地在风中摇晃，她努力分辨着那些声音。
"黍": 唉......
她的手轻轻拂过一株伏倒的禾苗，小苗像是得到了安抚一般，从泥浆中站直了身子。
她闭上眼，河流流过她的头发，树木的根系如同掌纹。
"黍": 好像很多年前，也有一段时期，天灾像如今这么频繁......
"黍": ......我没能帮上什么忙，就看到大片大片就要丰收的稻子全都倒在了地里，整片地只剩下了那么一小片，连半个口袋都没能装满。
"黍": 你满脸是泥，抱着袋子和我说，怕什么，一年一年的，总能种出结果。
"黍": ......那个时候，你的脸上好像还没有皱纹。
"黍": 你也还不是什么“神农”。
"黍": 怎么这么多年过去了，离当初的那些宏愿，还是那么远......？
脚下的大地上下起伏如同她的呼吸，像是在极深处藏着一颗火热的心脏，沉重缓慢地跳动着。
这颗心脏上走来一串浅浅的脚步。
"黍": 嗯......？

载具轰鸣声从很远的地方传来，好几个月才能听到一回。
远行的商队会带来补给的物资，新奇的物件，还有各地的见闻。在大荒城日复一日的劳作生活里，这些就是最让人期待的事儿。
天边的烟尘不一会工夫就到了眼前，打头的载具上走下一个人来。

那人穿着一尘不染的轻薄华衫，风烟飘过万里，追在他身后。
"黍": ......你回来了。

"优雅的男性": 好久不见。

"优雅的男性": 姐姐。



04.HS-3 早芒种



姐姐。
我跟着那位先生远走，才发现原来外面的天地和这大荒城大不相同。我们留在这里短短几十年，人类又琢磨出不少新奇玩意。
炎国大地上还有各式各样的城市，除了望不到头的农田，还有华丽的宫殿，热闹的集市，样样有趣。
我回来歇歇就走。这一趟还是出远门，不知道多少年才能回来。
说起来，这大荒城也不是早些年艰苦的时候，能照料这片田地的人多得是，你真的不打算和我一起出去看看？
......姐姐，我发现，原来外面的大地与这大荒城也没有什么不同。
是啊。又走了几十年，还是百来年？想法总是会变的。
见得多了，发现原来不论走到哪里，人到底只是人，这人间好像没什么意思......人心叵测，但其实也不难猜。
嗯。先生死前说的话，我吃透了。
姐姐......你还打算留在这里多久？

"年": 喂——
"年": 怎么好不容易把你从那座山头揪出来，还是这么自闭？既然现在黍也不在，和我出去转转咯？
"年": 这里没什么新奇玩意，但是果蔬粮食的味道还真是移动城市的种植地块比不了的。对了，你是不是还从来没见过粮食是怎么酿成酒的？
"夕": 心烦。
"年": 天师府是不是又来找你麻烦了？
"夕": 我怕天师府什么！
"夕": 我就是......我......
"夕": ......有这功夫，你应该为外面一动不动的大家伙想想办法。
"年": 天师们都去救灾了，我一个人能有什么办法，又不能亲自上手......
"年": 好无聊啊！还是让我看看，你今天画的是......
(震动)
"夕": 不行！
"年": 别这么小气嘛，没灵感的话我还能给你出出主意？
"夕": 给我，出去——

"年": 这么紧张？看来是真的有秘密。
"夕": 不是秘密，是烦心事。
"年": ......天师府里的老家伙们是挺烦的，但其实奈何不了你什么。而且都有朝廷替我们打包票了，他们最多唠叨你几句。
"年": 所以你在烦......“他”。
"夕": ......
"年": 我能感觉到他已经到了，从不藏掖的。我们怎么说也是一家人，不去看看？
"夕": 我才不去。
"年": 这么生疏啊......我听说他每次路过你的山头，都会带些搜罗来的当世最好的画作送你的，你可别嘴硬说你不喜欢。
"夕": ......不一样了。
"夕": 你上次见他，是什么时候？
"年": 唔，还真记不清了。
"年": 他手中的生意做得太大，被司岁台提醒了好几次，之后好像收敛了一点。最近几年就只是游山玩水，把炎国每座城市都挨个转了个遍。
"年": 可司岁台盯他比盯我们要严密得多了。
"夕": 你怎么知道得这么清楚......
"年": 和司岁台打交道的时候，偷偷瞄了两眼他们的记事本——藏得没那么深的那部分。
"夕": ......
"夕": “生意做得太大”。我怎么记得，他不过只是个喜欢养蚕种桑，跟在黍身边的小呆子。
"夕": 最近一次见他的时候——就是你所谓的“路过”那时——我从画里探过一两眼。
"夕": 那眼神，浑，讨厌，和那个——
"年": ——和臭棋篓子一样，我懂的。
"年": 而且臭棋篓子越狱那年，他人就在百灶。你以为这几年大炎对你我不闻不问，都主要盯着谁呢？
"夕": 你觉得他俩勾搭上了？
"年": 不晓得。我还以为臭棋篓子只和令姐大哥关系好。
"年": 但要是司岁台做下了这种判断，他也不可能像现在这样到处串门了。
"年": 你又不是不知道他有多会做“人”，年年定期给司岁台上交的账本，每一笔生意、每一文的收支都记得明明白白，挑不出半点毛病。
"年": 不论哪里的城市遇上天灾受了损失，他自掏腰包赈灾的速度比谁都快。就是看在这一点上，司岁台再怎么说也得留几分情面。
"夕": 你觉得他有几分好心？
"年": 到底也是我们的兄弟......我还能背后说他坏话？
"夕": 这种事你少干了？
"夕": 何况人间本就不存在我们这样的关系。“兄弟姐妹”......我倒是......
"年": 你倒是？
(震动)
"夕": 滚。别凑过来。也别趁机偷看！
(震动)
"年": 好好好，别动手，别急。唉。
"年": “兄弟姐妹”。毕竟世俗意义上的骨肉亲情对我们来说并不成立......
"年": 可能几百年后，炎国的史官会专门发明一个词来形容我们这样的关系......或许吧。
"年": 但你这嘴硬的别扭性子要是能改改，我们还能多搞几次家庭聚会来着。
"夕": 我什么时候嘴硬过？
"年": 所以说，你什么时候才愿意让我看看，你书房里的那十二幅画？
(震动)
"夕": ......滚！
"年": 嗯，没错，是十二幅。哪怕是三姐消失后，你也一直留着她那一幅。
"年": ——画上的那些人究竟是谁，想明白了吗？还是不愿意再想了？
"年": 总不能......连你的自画像......至今都还是无从下笔吧？
"年": 非要这么拧巴？
"夕": ......

一场暴雨。
天上的灰云已经散了，空气中还能闻到湿润的气味。
"禾生": ......
"左乐": ......
左乐看到禾生咬了咬牙，按下了手中天师仪的开关。
紧接着，一种他没有见过的大型载具碾过田地，一排排的庄稼跟着倒了下去。
风刮过断了根而枯黄的阔大的叶，发出止不住的响声。像是傲慢的嗤笑——
灾害说来就来，说走就走。
人能奈这片天如何？
"左乐": 这些作物就是要放弃了？
"禾生": 嗯。
"禾生": 这片地是我的第一块试验田，原本种的都是玉米。它们全都被含源石的污水浸过了，只能处理掉。
"禾生": 一块地一旦被源石污染过，恢复起来异常困难。所以这片大地很辽阔，但是能用来耕作的土地却少之又少。
"禾生": 玉米连芯子都是甜的，我小时候刚来大荒城第一次尝，觉得它是最好吃的东西。
"禾生": 我想让它好好地长在土里，让所有人都能尝到它的甜味，像我第一次吃时那样开心。
"左乐": ......
发动机声隆隆作响，只留下一片光秃秃的土地。
"小满": 小禾——终于找到你了！
"小满": 快走快走，工程他们轧了一片田，职农大叔和天师们吵起来了，你快去看看吧！

"土木天师": 各位，灾害刚过，物资短缺，时间紧任务重，我们的工程耽误不起了。
"土木天师": 这些田已经是决定要废弃了，各位就让条道，让我们把这些工具搬过去吧！
"愤怒的职农": “废”？俩嘴唇一碰就开始胡说！这里种田的天师前两天才告诉过我，庄稼研究到了最关键的时候。
"愤怒的职农": 你们开着载具直接从我们田上碾过去，谁给你们的权力？
"土木天师": “丁卯号地块泥土样本检测到过量源石颗粒浓度”，这个意思就是说这片田已经被污染了，已经废——
"愤怒的职农": 这样的灾年年都有，怎么你们这些外面的人来了，这土地在你们嘴里就成了废地了？
"土木天师": 你们这田地又没法挪，几场灾下来已经被污染了，不救田也是上面的决定......
"愤怒的职农": 今年已经是荒年，不救田可是要闹荒的！
"愤怒的职农": 你们是不是没见过早些年大批大批饿死人的时候？！轻飘飘一句话，说先工程就先工程，不仅不帮着救土地还轧了过去！
"愤怒的职农": 大荒城可是我们的地方！
"土木天师": ......你说的这都是什么道理？
"愤怒的职农": 什么道理？
"愤怒的职农": 老天爷的道理！你大爷的......
(震动)
"土木天师": ......
"土木天师": 你打我？
(震动)
"愤怒的土木天师": ......你大爷的！
(震动)
"愤怒的职农": 你大爷的！！
"小满": 叔叔阿姨们，你们别打架呀......
"禾生": 王伯！
"禾生": ——这田......
"愤怒的职农": 你看看！这地刚被源石毁过一次，还没来得及救，他们这些人开着载具又来轧一次！
"愤怒的职农": 一说话就搬出什么侍郎什么报告，谁认你那个侍郎？那人我见都没见过！
"禾生": 各位天师，我们似乎并没有收到任何有关废弃这片田地的通知？
"禾生": 我记得之前应该已经决定了，优先抢救土地......
"土木天师": 你还没有听说？工程物资的补给已经到位了。大荒城的改建昨天晚上就恢复动工了。
"土木天师": 根据最新的土地受损检查结果，也重新评估了修复土地需要的成本。
"土木天师": 得出的结论是，要放弃大荒城外围农田地块的改建，优先保障核心城的建设......而且，要做好随时移动核心城的准备。
"禾生": 为什么？！
"禾生": 之前土地的污染源研究清楚了吗？为什么急着下这样的判断？
"土木天师": 天师府......更上层得出的结论。你要是不信，也可以去找资深天师确认。
"禾生": ......
禾生回过头看了看，几位职农怔怔望着被履带碾过的田垄，神色黯然。
"禾生": 几位前辈，如果最终天师府得出了要放弃田地的结论，我们都会听从安排的。
"禾生": 只是这些田，不仅是这里的大家干活的地方，也是人们的家。
"禾生": 既然还没有正式通知大家搬离。至少现在，恳请你们先把这些工程器械挪到别的地方去，好吗？
"土木天师": ......好，我答应你。不过也就这几天的时间了。
"禾生": 多谢了。
"土木天师": 我知道，你们年年守在这里耕种是辛苦，但是情况不一样了。
"土木天师": 过去没有移动城市的时候，人们确实离不开这片地，可是现在的庄稼都搬上移动地块发展无土栽培了......
"土木天师": 说实话，大荒城这片地也没有什么特殊的。
"土木天师": 你们说要在这里研究有源石耐受性的庄稼，可是这么多年过去了，不也没什么结果吗？
"禾生": ......

(灰幕)
"禾生": 我只是不确定......如果最终只能得到这个结果，“万顷”这项研究，根本没有推广应用的可能。
"禾生": ......这么多年了，别说成果，一点希望的苗头都看不到。

(灰幕结束)
"愤愤不平的职农": 小禾，你和那些人说什么了，他们就走了？
"禾生": 也没什么......
"禾生": 王伯......最近，大家还是抓紧收拾田地吧......

"禾生": ......
"小满": 大水牛？大水牛！你到底在发什么呆呀？
"小满": 我们现在要怎么办？听那些天师的意思，大荒城真的要搬走？这些田都要抛下？
"小满": 乡长奶奶不知道在哪里，我们要不要去找她？
"禾生": ......
"小满": ......你说话呀！
"禾生": 如果大荒城有这样的变动，她应该是第一个知道的。她没有站出来，说明她也没有办法......
"禾生": 我更没有办法......
"小满": 你又说什么丧气话呢？
"禾生": 你说，当年的神农，会不会真的是个神仙啊......
"禾生": 不然的话，她是怎么能在那么艰苦的环境里，开辟出这么一片土地的......
"小满": 神农是很厉害，可是现在的人们能把这片土地照顾好也很厉害。
"小满": 要是随随便便就说放弃了，神农才要狠狠骂你呢！
(震动)
"小满": 啊！
小满感觉脚下踩到了什么东西，慌慌张张收回了脚。稻谷晃了晃，一个人影直起身子。
"禾下午睡的男性": 唉，扰人清梦啊......
(震动)
"衣着华丽的男性": 正梦到稻谷丰收，突然一场天灾，生生把这场好梦给砸醒了。
"小满": 哎呀！你这人怎么在田里睡觉啊，不怕别人踩到你吗？
"衣着华丽的男性": 你不是已经狠狠地踩到了我吗？
"小满": 那还不是因为你躺得不是地方？
"禾生": 抱歉！这位先生，您没有伤到哪里吧？
"衣着华丽的男性": 伤倒是没伤，可是这好好的衣服上踩了这么大一个泥脚印，实在是......
"小满": 明明是你......睡觉不看地方的大叔叔！
"衣着华丽的男性": ......走路不看路的小丫头。
"禾生": 小满......
"小满": 那你说怎么办嘛！我帮你洗干净，还是赔你一件？
"衣着华丽的男性": 算了吧，我身上的物件都是走南闯北搜罗来的最精贵的东西，交给你洗，最后只会收到一团乱麻。
"禾生": 先生......您就是为大荒城带来救灾物资的人？
"衣着华丽的男性": 你倒是机灵。
"衣着华丽的男性": 我是个商人，早些年做生意攒下了一些本钱，听闻大荒城遇上了灾害就赶了回来，故乡有难，自然是要尽己所能帮一帮的。
"小满": 你也是大荒城的人？你为什么会在田地里睡觉？你在这里没有家吗？
"衣着华丽的男性": 太久没有回来，这里风景都变了模样，没想到就迷了路......正好想问问，你们知道看影子戏的地方怎么走吗？
"小满": “影子戏”？那是什么？
"衣着华丽的男性": 用秸秆编出花样，用布蒙着灯，照出花样的影子演戏
"衣着华丽的男性": ——你们现在已经不看影子戏了吗？
"小满": 我没看到过......
"衣着华丽的男性": 那，你们如今庆祝丰收的地方在哪呢？
"禾生": 您是说大戏台吗？
"小满": 那我知道，你顺着这条路走，看到第三棵大树，再左转就是啦，其实就在神农祠的后面。
"衣着华丽的男性": 嗯......神农祠倒是还在。不错。
"衣着华丽的男性": 多谢，你是第一个愿意给我指路的人，也算和你有缘。卖你一个愿望，什么都行。
男人伸出手，掌心躺着一枚圆润的石子，盈盈地摇晃着光芒。
"小满": 这是什么？
"衣着华丽的男性": 一个愿望，什么都行。
"小满": 愿望？
"小满": 我不信，你是商人，又不是神仙，难道我和你说了，它就真能实现？
"衣着华丽的男性": 我的确只是一名商人，不过生意做得大一点，什么都能买，什么都能卖。
"衣着华丽的男性": 但能和我做生意的机会不是人人都有的。
"小满": ......真的？
小满回头看了一眼站在身后的小禾，仔细想了想，又看回面前的男人。
"小满": （小声）我希望......
