
《21.理想城：长夏狂欢季》

01.IC-ST-1 旅行前夕
"斯第奇·画布": 他还不值得我去为他指出设计上的不足。不如说，简直无从指正！
"斯第奇·画布": 那坨扭曲的结构......我看一眼就要晕过去！为什么际崖城的人居然能忍耐他来当这个设计代表？
"耶奇·地心": 大概是大滑梯玩起来真的很爽吧。
"斯第奇·画布": 要是我来操刀的话......
"耶奇·地心": 你会拿清水混凝土建一个横平竖直的，呃，方块。
"斯第奇·画布": 你还是太不了解我了，耶奇老头，我只打算在那里放置一片狭长的混凝土条带，简洁才是美。
"耶奇·地心": 呃，连滑梯的功能都没有？
"斯第奇·画布": 要倾斜一点角度的话也不是不行......
"耶奇·地心": 咳，该回到正题了。
"耶奇·地心": 这穹顶现在看起来似乎没有大问题，但实在是让我担心......
"斯第奇·画布": 自从半年多前地震，穹顶开始漏水以后，这玩意渗漏得越来越厉害，你管这叫没有大问题？
"耶奇·地心": 至少际崖城的市民们是这么觉得的。水流变大了？那激流勇进就更刺激了！温控系统坏了？那就当夏天还没有结束！
"耶奇·地心": 至于源石勘测系统......反正际崖城附近已经二十多年没检测到活性源石层啦！
"斯第奇·画布": 哼，短视！
"耶奇·地心": 那你......
"斯第奇·画布": 我不修，这破烂穹顶有什么好修的。我已经回答你一百万遍了。
"耶奇·地心": 你当初跑到地面上去，难道不就是去想办法的？思考可行的穹顶修复方案之类的。
"斯第奇·画布": 不，主要是为了躲你啦，你太烦了。
"耶奇·地心": 这话是不是有点过分？前几个月我还被推选进了际崖城最和蔼老人前一百呢。
"斯第奇·画布": 行了，我知道你担心穹顶的状态。
"斯第奇·画布": 但如果卡奇连现今状态下穹顶的强度问题都解决不了，那别说设计代表的位子，他真该直接滚出际崖城了。
"斯第奇·画布": 从结果上来说，穹顶的安全问题应该还不需要担心。
"斯第奇·画布": 温控系统就放着吧，我看亲爱的市民们玩得起劲得很呢。等他们腻了，说不定就要举手让际崖城变成冬天了。
"斯第奇·画布": 还有那个源石勘测系统，要我说，本来也不怎么靠谱，你一直追着我到处跑，最担心的不就是这个系统吗？我倒是有一个新方案。
"斯第奇·画布": 不如我们把之前地震震坏的铁路桥重新修起来，把那些已经震塌的隧道挖开，在那里直接安装探测源石的仪器，读数还准确些。
"斯第奇·画布": 本来，这座穹顶的功能也太冗杂了。
"耶奇·地心": 你宁愿绕这么大一个弯，也不愿意处理一下际崖城的穹顶？再怎么说，就算芬奇是不辞而别，这也是你们师徒两人......
"斯第奇·画布": 停，到此为止。
"斯第奇·画布": 耶奇老头，我不想和你真的生气。
"耶奇·地心": ......好吧。
"耶奇·地心": 现在，还是解决源石勘测的问题更加重要。
"斯第奇·画布": 我在地上找到了几个派得上用场的家伙，他们那些折腾破烂的技术足够帮际崖城重修铁路了。
"斯第奇·画布": 接下来，只要......
"耶奇·地心": 不好意思打断一下，你说的派得上用场的地上人......
"耶奇·地心": 不会是那边正飞在天上的几位吧？
"斯第奇·画布": 啊？

(水花)
(震动)
"极境": 哟吼！
"依娜姆": 当初你、祖玛玛和克玛尔加入罗德岛的时候我还没什么感觉。现在看到这位的表现......
"依娜姆": 特米米，你实话告诉我，罗德岛的工资是不是其实很好骗？
"特米米": 极境先生其实还是一位职业向导、通讯专家......
"特米米": 算了！他就那样！
"杜林小贩": 两位要的甜甜果酒~
"特米米": 谢谢！
"依娜姆": 呃，我该怎么付钱，不如说，你们之前买东西都是怎么付钱的？
"特米米": 我给裁缝奶奶说了几个嘉维尔的故事，她听得很高兴，就免费把衣服送给我了！
"极境": 我的话......酒是爱好者协会的朋友们报销，吃的就直接记到斯第奇的账上了。
"依娜姆": ......大概你被丢到哪里都活得下去吧。
"极境": 这就是向导的专业性！
"依娜姆": 小妹妹，那这两杯酒也记在斯第奇先生账上吧。他不会介意的。
"杜林小贩": 好嘞！
"卡奇·叙光": 哈哈，那家伙可小气得很，这些酒还是算我招待几位的吧。
"卡奇·叙光": 毕竟这里是我引以为傲的游乐园，当然希望各位能玩个尽兴。
"特米米": 叙光先生和斯第奇先生很熟吗？
"卡奇·叙光": 那要看你怎么定义熟悉了。
"卡奇·叙光": 我们年轻的时候，为了把对方比下去，可是没少打交道。我和他在好几个项目上竞过标，有的我胜，有的他胜。
"卡奇·叙光": 不过唯有我们头顶的这座穹顶，倒是谁都没有顺利拿下。
"卡奇·叙光": 我们都对这座际崖城标志性的穹顶有更多的改进设想，有几年我们几乎天天见面——
"卡奇·叙光": 在表决大会上，我们努力证明自己的穹顶改造方案是最好的。
"卡奇·叙光": 然而，最后，谁都没能说服际崖城的大多数人。
"卡奇·叙光": 毕竟这座穹顶可是芬奇大师，也就是我之前那一任设计代表的手笔。
"卡奇·叙光": 而斯第奇，既是他的学生，也是......
"卡奇·叙光": 算了，有些话不应该我来说，你们还是自己问他吧。
"极境": 卡奇老弟啊，你小小年纪，怎么老气横秋的，一口一个“年轻的时候”，这可不行。
"极境": 来，跟你极境哥学学，保持赤子之心，笑着面对生活！与其感叹以前的时光，不如和我们一起痛饮美酒——
"杜林小贩": 黎博利哥哥，你要的特大份超解暑冰冰凉麦酒桶来啦！
"极境": 各位，别客气！我们的朋友卡奇希望咱们尽兴，怎么能辜负他的好意呢！
"极境": 所以——卡奇老弟，我能再来点吗？爱好者协会的那帮人不给我报销别家的酒，我就是想都尝尝......
"卡奇·叙光": ......
"卡奇·叙光": 你真的不是个踩了高跷的杜林人？

"思考的鲁珀": ......还有什么广告要写来着？
"思考的鲁珀": 啊对了。
"思考的鲁珀": “我该怎么形容这款长叶清露喝进喉咙的感觉？我该怎么不那么市侩庸俗地赞美它？”
"思考的鲁珀": “倘若我能吞下一小片云，倘若我能饮下一串春雨。”
"思考的鲁珀": “倘若我能感受到冬天的最后两片雪花落下......”
"思考的鲁珀": 唔，他们大概不懂冬天的雪花，换个更杜林的比喻吧。
"思考的鲁珀": “两块超冰凉的果味冰块落进一大壶无敌美味的调酒里——”
(震动)
"嘉维尔": 唔，好疼——
"嘉维尔": 这回我们不该往下跳的。大祭司居然说了句实话。
"森蚺": 在上次和你打架之后，我好久没体会过这种骨头快要散架的感觉了。
"嘉维尔": 是啊，我感觉自己都出现幻听了，果味冰块和酒之类的。难不成这一跳落下了什么后遗症？

"嘉维尔": 嗯？这里为什么有个鲁珀在睡觉？
"森蚺": 有没有可能......是我们的错呢？
"嘉维尔": ......应该不会吧？要不然，我给她治疗一下？
"森蚺": 你带医药箱了？
"嘉维尔": 凯尔希医生说过，真正杰出的医疗干员用自己的双手就能解决绝大部分问题。
"森蚺": 说过吗？
"嘉维尔": 具体的说法记不得了，反正我是这么理解的。好了，让我看看，该从哪里下手呢......

(震动)
"鲁珀": ！
"嘉维尔": 啊，醒了。我还没动手呢。
"森蚺": 那个......你还好吗？
"鲁珀": 唔，头有点晕......
"嘉维尔": 我们刚刚好像不小心撞到你了，抱歉哈，需要我帮你看看吗？
"鲁珀": 你们怎么会在这里？
"嘉维尔": 你是......？
"鲁珀": 你们怎么找到这里的？
"嘉维尔": 能问个路吗？你知道这附近有个神奇的地下城市之类的吗？
"鲁珀": ......你们是从地上来的。
"嘉维尔": 真稀奇，你不是？
"森蚺": 我们听说地下有十分恐怖的灾难将要发生，所以......
"鲁珀": 地上人，你们最终还是来了。
"鲁珀": “当然，带着斧头和链锯探访纯洁的花园本来就是灾难。”
"鲁珀": ......“文明的野兽终于无意于掩盖它尖锐的獠牙，向我们展露出了它噬人的巨口......”
"嘉维尔": 我明白了，尖牙大嘴的野兽是吧，放心交给我。
"鲁珀": 欸？不，我的意思是......
"嘉维尔": 只要体型在十米以内，我就有信心把问题解决干脆，正好，也好久没动过手了！
"森蚺": 鲁珀小姐，带个路，是往这边走吗？
"嘉维尔": 应该继续往下跳会比较快。
"鲁珀": 不，地上人！你们身上的血污，会......
"嘉维尔": 别担心，我会控制力道，不会溅得到处都是的。
"嘉维尔": 祖玛玛，做好再跳一次的准备了吗？
"森蚺": 没问题。
"嘉维尔": 鲁珀小姐，抓紧我。
"森蚺": 相信嘉维尔吧，论打架，她可是专业的。
"鲁珀": 啊，其实也有别的路......喂，喂！


  <行动后>


"极境": 谢谢你，特米米，这份恩情回到罗德岛上我一定会还。
"特米米": 我、我不太擅长望风，但我会努力的！
"极境": 好，我先喝一口尝尝！
"极境": 嗯，醋栗酒的口感果然够奇怪，但是......
"特米米": 极境先生，极境！
"极境": 怎、怎么了？我那些朋友们找过来了？你和他们说我可没喝他们对家的酒——
"特米米": 是斯第奇先生来了！
"斯第奇·画布": 呼，找了你们好久了。
"斯第奇·画布": 说起来，这家伙怎么会在这里？
"卡奇·叙光": 嗨，斯第奇。
"卡奇·叙光": 我们有多少年没见了？真不够意思，你是不是都没来看过我的“大水坑”？
"极境": 既然你都过来了，要一起玩吗？冲浪区棒极了！
"卡奇·叙光": 我可以帮你们偷偷把水上滑梯的限流阀打开，让你体验一把真正的......
"斯第奇·画布": 不了，我赶时间。
"斯第奇·画布": 各位，跟我来吧，既然玩得还算开心，那接下来也该谈正事了。
"卡奇·叙光": 斯第奇，你总是匆匆忙忙，时间还有的是！我们完全可以......
"斯第奇·画布": 不，我的“时间”很有限。设计代表卡奇大师身体健康，精力充沛，而我是个矿石病患，可活不了几年。
"卡奇·叙光": 啊，抱歉，我不是那个意思！
"卡奇·叙光": 我只是觉得，我们可以好好聊一次，把当年的误会......
"斯第奇·画布": 听好了，卡奇。
"斯第奇·画布": 如果你想找认同，际崖城的市民已经够热爱你了，不缺我一个。
"斯第奇·画布": 如果你想找存在感，不如再建点超级大水炮之类的玩意，漆成红色也好，粉色也罢，我不拦着你。
"斯第奇·画布": 只是别在我这浪费时间了，我永远不可能昧着良心去恭维你那些，哈，“建筑作品”。
"斯第奇·画布": 该走了，地上人们，我会和你们讲讲我的规划......
"卡奇·叙光": 等等，斯第奇，听我说——
"斯第奇·画布": 卡奇，我对你的唯一建议就是，躲开我。
"斯第奇·画布": 我们各走各的路。
"卡奇·叙光": 斯第奇，找机会我们一定要聊聊你刚刚提到的超级大水炮，我很感兴趣。
"卡奇·叙光": 不过，在此之前......你有没有听见什么声音？
"斯第奇·画布": 肯定是那帮醉鬼又在犯蠢吧。
"卡奇·叙光": 不对......
"依娜姆": 难道是穹顶......？
"卡奇·叙光": 不可能，请相信我在工程结构上的水平。
"特米米": 那、那是！

下坠的感觉。
风从耳边吹过，很吵。
听说罗德岛有些奇怪的家伙迷恋这种感觉，搞不懂他们。
至于我？我会从高处往下跳只有一个理由，那就是跳下去才能解决问题。
用拳头也好、用法杖也好、用斧子也好。
面对问题，找到坏蛋，然后解决他。没什么难的，不是吗？
不管即将看见的是什么——
就算斧子崩了，法杖裂了，拳头再也握不紧。
总之去做就是了。
"嘉维尔": 不管是阴谋也好野兽也好蘑菇也好火雨也好，还是其他什么恶心的东西也好！
"嘉维尔": 我会全都揍趴下！
"森蚺": 喂，嘉维尔，好像不太对，前面的是！
"嘉维尔": 啊？

(震动)
(水花)
"鲁珀": 喂，我说，差不多该把我放下来了吧！
"嘉维尔": 啊，抱歉。
"嘉维尔": ......这是个啥？瀑布？滑梯？
(震动)
"杜林人": 呦吼！
(震动)
"极境": 呀，嘉维尔，你怎么才到？
"极境": 欢迎来到杜林人的“大水坑”！
(震动)
"嘉维尔": 哈？？
"特米米": 呜呜，嘉维尔，我错了！
"嘉维尔": 你呀！
"森蚺": 所以说，超级怪兽不存在，也没有天上掉下的火雨和遮天蔽日的蘑菇？
"特米米": 极境先生说，这是一种修辞......
"嘉维尔": 我一会儿就去揍他。
"依娜姆": 特米米说的也不算错吧，杜林人的确遇到了某种麻烦。
"依娜姆": 虽然实在是看不出来，但起码这位斯第奇先生是这么声称的。
"斯第奇·画布": ......我当然有我的理由。
"鲁珀": 所以说，你们这帮自以为是的地上人又在发什么疯！！
"鲁珀": 二话不说扛着斧头闯进际崖城，声称什么来帮杜林人的忙？
"鲁珀": 开什么玩笑，杜林人能自己解决问题，可不需要各位伟大的地上人施以援手。
"鲁珀": 更何况，你们身上属于地面的肮脏和丑恶，足以玷污这座平静的小城！
"依娜姆": 呃，你是鲁珀吧？你不是从地上来的？
"鲁珀": 我已经抛弃了地上的一切。现在的我，只是际崖城的市民罢了。
"鲁珀": 所以，我现在以际崖城市民的立场要求你们，离开这座城市！
"鲁珀": 若你们依然冥顽不灵，我不介意用其他的手段驱逐你们。
"斯第奇·画布": 喂，阿芙朵嘉，他们是我喊来的。
"阿芙朵嘉": 斯第奇......原来你回来了。
"阿芙朵嘉": 不管你打算干什么，我以曾是他们一员的立场劝告你，放弃吧。借助地面上的力量只会害了际崖城。
"阿芙朵嘉": 际崖城的市民们从未明白什么是真正的“贪婪与阴谋”。
"卡奇·叙光": 阿芙朵嘉，他们已经通过了一场市民表决......
"阿芙朵嘉": 那我不介意再以一场市民表决否决它。这取决于杜林人的看法。
"阿芙朵嘉": 实在不行的话，要是各位打算用你们地上人最擅长的流血来解决问题，我也奉陪到底。
"嘉维尔": 啧，搞不懂你，在我看来只是一点误会。
"嘉维尔": 听说阿卡胡拉地下的邻居遇上了点麻烦，我们就来帮一把，就这么简单。为了他们，也为了我们自己。
"阿芙朵嘉": 哈，挎着把链锯来邻居家帮忙，一定只是来好心地帮我装上桌子腿吧。说不定再用斧子为我削个水果？
"阿芙朵嘉": 别来这一套，我亲眼见过和善的使者转瞬间就换上一副残忍的面貌，对利益的追求和对掠夺的渴望是地上人的本性。
"阿芙朵嘉": 你们或许能骗得了我善良的杜林同胞们，但你们骗不了我。我太熟悉你们的说辞了。
"嘉维尔": 唉，不管你信不信，这斧子只是，呃，用来防身的。
"嘉维尔": 但如果你觉得只有打架才能解决问题，那我会陪你解决。
"杜林人": ......
"杜林人": 喂，那个拿斧头的。
"兴奋的杜林人": 你也太酷了吧！
"嘉维尔": 嗯？啊......谢谢？
"激动的杜林人": 阿芙朵嘉，你好棒！
"激动的杜林人": 平常总看你拿着个本子写写画画，原来你也有这一面啊！
"阿芙朵嘉": 我不是......
"兴奋的杜林人": 这得有多高？跳下来感觉如何？
"激动的杜林人": 怎么从来没有人想过这个主意？从瀑布的顶上跳下来！
"兴奋的杜林人": 这两人是你的朋友？你这家伙，怎么从没和我们说过你还有这样的朋友！
"阿芙朵嘉": 她们可能很危险，我们不能......
"激动的杜林人": 能不能拜托她带我也玩一次？
"兴奋的杜林人": 阿芙朵嘉，你这次郊游有没有带来些什么新鲜玩意？比如上次的野果！
"激动的杜林人": 我们已经好几个小时没见了，为了我们的再会，总得喝一杯吧！
"阿芙朵嘉": 等等，等等！
"好奇的杜林人": 姐姐，你叫嘉维尔是吗？我能摸摸你的斧子吗？很重吗？
"嘉维尔": 呃，还好吧？
"热情的杜林人": 现在有空吗嘉维尔大姐？“大水坑”有个超好玩的秘密项目！你一定能玩出一个超酷炫的效果！
"好奇的杜林人": 这是我在际崖城的地址，如果有空的话，明天来参加我们的超级麦酒畅饮派对吧！
"热情的杜林人": 还等什么明天，不如现在我们就开始！
"好奇的杜林人": 好主意！
"极境": 好主意！卡奇老弟，再拿点酒来！
"嘉维尔": ......杜林人怎么回事？被极境传染了？
"依娜姆": 特米米，你那是什么表情？
"特米米": 嘉维尔就是嘉维尔，走到哪里都会是人群的中心呢。
"依娜姆": ......唉。
"依娜姆": 在我看来，只是一群傻乎乎的人会跟在一个最傻的家伙身后而已。
"依娜姆": 有的人就是拥有这样的吸引力。
"斯第奇·画布": 原来她就是阿卡胡拉人经常念叨的那个“无敌的嘉维尔”。
"斯第奇·画布": 她为什么会从瀑布上跳下来？你们约好的？
"依娜姆": ......不，大概只是物以类聚罢了。
"嘉维尔": 特米米，我被围住了，来帮我一把！
"特米米": 来了——
"斯第奇·画布": 这里太乱了，我们还是换个地方吧。

"嘉维尔": 所以，你就是那个杜林人。
"斯第奇·画布": 我在阿卡胡拉的时候可是没少听到他们说起你的名字，嘉维尔。
"嘉维尔": 说说吧，际崖城的危机到底是什么，它会怎么影响阿卡胡拉地区？
"斯第奇·画布": 这个......说实话，这个话题非常复杂，涉及很多的层面，包括地理学、地质学、社会形态等等领域。
"嘉维尔": 你可以展开讲讲。
"斯第奇·画布": 其中最麻烦的是，其实这个问题还涉及了一点点文学的领域......
"斯第奇·画布": ......和特米米一样，我也稍微借用了少许修辞的手法。
"依娜姆": 原来你对我们说的那一套也是夸张过的？
"斯第奇·画布": 这怎么能算是夸张呢！我只是，呃，看法稍微历史性地宏观了一点点。
"斯第奇·画布": 在千百万年之后，随着地壳的变化，确实有很大概率，整片雨林会沉入地下......
"嘉维尔": 我可以揍这小鬼吗？
"依娜姆": 请便。
"斯第奇·画布": 等等，等等呀！但我的确需要你们的帮忙，这件事也的确和际崖城有关！
"斯第奇·画布": 我们可以从做生意的角度来思考这个问题嘛！你们也看到了，杜林人的技术一定能给你们的雨林派上大用场！
"斯第奇·画布": 你的那些阿卡胡拉老乡们以后也不用再抱着几台废弃车床当宝贝了！
"依娜姆": 嗯，如果真的能派上用场的话。
"斯第奇·画布": 我可以保证，以后你们阿卡胡拉人但凡有什么技术问题，我有问必答！
"斯第奇·画布": （小声）哈，只要你们听得懂。
"嘉维尔": 你说什么？
"斯第奇·画布": 我，我说，就算听不懂我也一定尽量解释。
"依娜姆": 那我们就直入正题，你到底想要做什么？
"斯第奇·画布": 很简单，和我一起说服别人，把之前地震震坏的，连接城外的铁路桥重新打通修好。
"斯第奇·画布": 这样，际崖城能在不去折腾那座该死穹顶的前提下，重新布置源石勘测装置，我也能从某个唠叨的老头那里解脱出来。
"斯第奇·画布": 还能顺便把某个挡在铁路桥行进路线上的大滑梯炸了，简直是一举两得，不，一举三得！
"特米米": 斯第奇先生，为什么不能直接修穹顶而要修铁路呢？把那个滑梯炸了多可惜啊！
"斯第奇·画布": 保留那个洞并且造那个“大水坑”可是当时所有人表决通过的事情。
"斯第奇·画布": 而且修穹顶牵涉到一系列非常深奥的技术问题，和你们解释也解释不明白的！
"斯第奇·画布": 为此，我们要重新发动一场投票，来推行我们的计划！
"依娜姆": 真不想干啊，我挺喜欢那个滑梯，居然要炸了它......
"依娜姆": 你们杜林人的技术那么厉害，为什么还要阿卡胡拉人帮忙修那座桥？
"斯第奇·画布": ......算了，告诉你们也无妨。
"斯第奇·画布": 我作为提出重修铁路桥这个方案的设计师，如果提案真通过了，负责人肯定也会是我。
"斯第奇·画布": 但是！你们见过铁路桥的图纸吗？那东西我以前上学的时候看到过，完全背离我极致简约的设计理念！
"斯第奇·画布": 那些密密麻麻的走线，那些丑陋的骨架结构！
"斯第奇·画布": 所以，所有有关桥梁铁道设计的课，我都是睡过去的。
"嘉维尔": ......所以，你根本不会建铁路桥？
"斯第奇·画布": 虽然很不想承认，但这算是我唯一的短板吧。
"斯第奇·画布": 于是我才请了各位对此颇有造诣的阿卡胡拉人帮忙，把这项重要的工程转包给你们！
"斯第奇·画布": 怎么样，完美的方案。
"嘉维尔": 杜林人的世界还真是宽容啊，这小鬼居然能顺利长到这么大......
"斯第奇·画布": 喂，你什么意思！
"嘉维尔": 还好，祖玛玛也来了，修铁路桥的事情她大概能轻松解决......
"嘉维尔": 嗯？祖玛玛人呢？

"森蚺": 果然，我没看错。
"奇怪的机械": ......警戒。
"森蚺": ......小家伙，过来！
"奇怪的机械": 可疑，危险！准备躲避！
"森蚺": 喂，别跑！



04.IC-3 奇谈怪论



"嘉维尔": 所以，想要炸掉滑梯重修铁路，就得说服商业代表克罗绮·砖石、工业代表黛柯绮·银币，还有那个叫卡奇的家伙，没错吧？
"斯第奇·画布": 不错，他们的地位最重要，杜林人们也最愿意参考他们的态度来做选择。
"嘉维尔": 你就不能自己去？
"斯第奇·画布": ......
"嘉维尔": 看来你不怎么受欢迎。
"斯第奇·画布": 也不用说得这么直白吧。
"嘉维尔": 听起来麻烦得很，不过，好吧，就当是为了阿卡胡拉。
"嘉维尔": 我该去哪里找他们？
"斯第奇·画布": 呼，终于结束了。那个嘉维尔真的好吓人。
"耶奇·地心": 看来真的让你得逞了。
"斯第奇·画布": 耶奇老头，心满意足了？
"耶奇·地心": 不瞒你说，我还挺舍不得“大水坑”的。
"斯第奇·画布": 哈！谁让它刚好挡在铁路桥中间呢？不然我还真找不到由头对它动手！
"耶奇·地心": 不过，我倒有了个新想法，自从穹顶破碎，瀑布落下，这大滑梯建成也有半年多了。
"耶奇·地心": 虽然大家玩得还是高兴得很，但应该也感觉到有一点无聊了。
"耶奇·地心": 不如我们就趁这个机会，建点新的？你之前和卡奇好像说过一个超级大水炮之类的东西，已经在杜林人中传开了！
"耶奇·地心": 不瞒你说，我也很有兴趣......
"斯第奇·画布": ......唉！

"阿芙朵嘉": 那个阿达克利斯人！野蛮、无礼、鲁莽、放肆！克罗绮，你能想象吗？我只不过是创作陷入了瓶颈，想去山洞里采些野茶，散散心......
"克罗绮·砖石": 结果被人抱着从瀑布顶跳了下来。
"阿芙朵嘉": 简直糟糕透顶。
"克罗绮·砖石": 但恐怕没有哪个正常的际崖城居民能抵挡这样的诱惑。如果把它写成故事，说不定能在城里大受欢迎。
"克罗绮·砖石": “相信嘉维尔吧。”“阿芙朵嘉，抓紧我！”唔，还有点浪漫。
"阿芙朵嘉": 可算了吧！
"克罗绮·砖石": 起码比你那些有关雪的故事强。
"阿芙朵嘉": 说起来，前两天，有几个孩子来找我讨那几本短篇小说，我还以为这些书也终于有了读者......
"克罗绮·砖石": 他们的读后感呢？
"阿芙朵嘉": “很好笑，下次还来看。”
"克罗绮·砖石": 我就知道。
"克罗绮·砖石": 阿芙朵嘉，他们没有恶意。只是，我们杜林人恐怕真的没法想象你的那些经历。
"克罗绮·砖石": 我是听你说了多少次才了解一点你的感觉？更何况普通的杜林人了。
"克罗绮·砖石": 我们连真正的雪都没见过，更别说你写的那些......那几个词怎么念来着，“诡诈”“逃亡”？
"阿芙朵嘉": 那些词如果只存在于文学之中，才再好不过。
"阿芙朵嘉": 总之，我对现在的日子很满意。不压榨别人，也不被人压榨。没有正在酝酿的恐怖阴谋，也不会卷入陷害与刺杀。
"阿芙朵嘉": 我为我们的商店街写几条广告、设计几件标牌就足够填饱肚子。还有什么不满足的呢？
"阿芙朵嘉": 我每天只用悠闲地在躺椅上沐浴阳光——虽然只是人造光源，但足够了。
"阿芙朵嘉": 我真希望这样平静的日子继续下去，直到......
"嘉维尔": 这里是商业代表克罗绮·砖石的办公室吗？
"嘉维尔": 你好，我想把那个大滑梯炸了。
"阿芙朵嘉": ......
"克罗绮·砖石": ......唉。
"嘉维尔": 哟，阿芙朵嘉，你也在？
"依娜姆": 她脸色不太好哦。
"阿芙朵嘉": 不好意思，克罗绮，我可能得先失陪了。
"阿芙朵嘉": 我要回趟家，重新保养一下这把弩。
"嘉维尔": 我是不是真的惹她生气了？
"克罗绮·砖石": 咳嗯，几位刚到际崖城不久吧？我听卡奇提起过你们。
"克罗绮·砖石": 怎么说呢，他这次的评价倒还挺准确。
"克罗绮·砖石": “一帮比杜林还要杜林的家伙。”

"奇怪的机械": 躲避！躲避！
"森蚺": 嗯，结构很奇怪，和Lancet-2大姐给人的感觉完全不一样。
"奇怪的机械": 请保持距离！
"森蚺": 看起来不如大姐聪明，但也有一些基本的反应，这是什么原理？
"奇怪的机械": 威胁度高！陌生人，保持距离。
"森蚺": 放轻松，小家伙，我叫祖玛玛，不是什么坏人。
"奇怪的机械": 定义身份，祖玛玛。
"森蚺": 你叫什么名字？
"奇怪的机械": 属性：为杜林族服务的光荣的R3-E3型助理机器人，编号0429。
"森蚺": 你好，0429，你的减震系统出问题了吗？为什么摇摇晃晃的？
"奇怪的机械0429": 自检报告：服役年限临近，元器件老化。
"森蚺": 我可以帮忙。看，我有全套的检修工具。
"奇怪的机械0429": 检修......判定可执行度，低。R3-E3服役期满后即报废。
"森蚺": 小家伙，我看你的状况没什么大问题，别自暴自弃。大概只要拧上几颗螺丝就好。
"森蚺": 你很可爱，我愿意帮你，怎么样？
"森蚺": 我们可以当朋友。
"奇怪的机械0429": 朋友？无法理解，朋友。
"奇怪的机械0429": 你可以帮我检修吗？
"森蚺": 没问题。
"森蚺": 不过首先需要切开你的外壳。
"奇怪的机械0429": 不，申请取消任务，申请取消任务，危险，危险！
"森蚺": 没事的，别跑！
"路过的杜林": ......我是不是看到了一个来自地上的斐迪亚正追着助理机器人跑？
"路过的杜林": 真奇怪，昨天喝多了？
"路过的杜林": 说起来，阿芙朵嘉那些叫人半懂不懂的故事里，描写的大概就是这种场景吧，有关“追杀”的那些。
"路过的杜林": 唔，我大概知道她为什么说这不是喜剧了。

"克罗绮·砖石": 依娜姆小姐，要茶吗？
"依娜姆": 原来杜林人也会喝除了酒之外的液体。
"克罗绮·砖石": 偶尔也想换换口味。况且，咳，毕竟还在工作，喝酒还是留给休闲时间吧。
"克罗绮·砖石": 你提议我们可以单独聊聊。
"依娜姆": 我毫不怀疑嘉维尔的打架实力，不过在这种事情上，她的拳头估计派不上什么用场。
"依娜姆": 毕竟，我们恐怕是一类人，际崖城的商业代表。
"克罗绮·砖石": 看来你是个喜欢谈买卖的人，正巧，我也不讨厌。
"克罗绮·砖石": 际崖城只是一座小小的杜林聚落，前些年，我们还与其他城市连通的时候，我作为商业代表还算是有些工作。
"克罗绮·砖石": 不过自从上次的地震以后，唯一的铁路断绝，好在际崖城足够自给自足，居民们也比较无欲无求，重新恢复交通就显得没那么急迫了。
"克罗绮·砖石": 如今我的工作无非是迎合际崖城市民们的喜好，推出点娱乐活动罢了。
"克罗绮·砖石": 管一管“大水坑”附近的小贩啦，推出些新的自走车配件啦，清闲得很。
"依娜姆": ......我不是很了解杜林人的观念，不过一般来说，把自己喝得烂醉然后去冲浪算是一种无欲无求吗？
"克罗绮·砖石": 算的。
"依娜姆": 可是，按照地上人的标准......
"克罗绮·砖石": 算的，按照我们的标准，这就是无欲无求。
"克罗绮·砖石": 所以，不管斯第奇向你允诺了什么，如果你想说服我同意你们炸滑梯的计划，就拿出点真正能打动我的东西。
"克罗绮·砖石": 互相都愿意交换，生意才算成立。
"克罗绮·砖石": 依娜姆小姐，你能为际崖城的商业带来什么呢？阿卡胡拉的那些手工艺品可不够有吸引力。
"克罗绮·砖石": 我听说敏锐的自走车商家们已经用你们这几位外来者的形象在配件上做文章了，但这也还不够。
"依娜姆": 你......比我想象的要了解地上。
"克罗绮·砖石": 虽然我没有亲身去过地上，但城里的图书馆可不是摆设。
"克罗绮·砖石": 我十分清楚你们的那些习俗......
"克罗绮·砖石": 阿卡胡拉人会不眠不休地围着磐蟹跳舞，坚持到最后的就可以获得大王的称号，没错吧？
"依娜姆": ......你从哪看来的这些。
"克罗绮·砖石": 《奇谈怪论》啊。这可是际崖城最流行的书，当年一位大冒险家从地上带了好大一套下来。可堪称是有关地上世界的百科全书了。
"依娜姆": 那就是个胡编乱造的杂志！
"克罗绮·砖石": ......不会吧？我为了看懂这些书，还辛辛苦苦学了萨尔贡语呢......
"依娜姆": ......怪不得你几乎没什么口音。
"依娜姆": 唉，突然没什么动力了，感觉几本最新的《奇谈怪论》就能收买你......
"克罗绮·砖石": 最新的？那些书居然还有续集？！嗯......如果你真的能搞到，是可以考虑......
"依娜姆": 我倒是还有些好东西。
"克罗绮·砖石": 这是什么？
"依娜姆": 录像带，要不要看看？

"阿芙朵嘉": 找到你们了。
"嘉维尔": 啊，阿芙朵嘉，好巧。又来采风？
"阿芙朵嘉": 你们到底想干什么？
"特米米": 克罗绮小姐那里，依娜姆说交给她搞定，我们就出来找祖玛玛了。
"阿芙朵嘉": 不，我问的是，地上人，你们为什么来我们的城市。你们真正的目的是什么？
"阿芙朵嘉": 我在超方便大升降梯一号那里守了很久，跟着你们的主力部队在哪里？是萨尔贡的王酋们终于看上地下的财富了吗？
