
《36.太阳甩在身后》

01.AS-ST-1 辉煌之城
"阿斯帕齐娅": ......终于。
"阿斯帕齐娅": 我们的历史就在此处静静等待着我。
"阿斯帕齐娅": 我应当承认，瞻仰历史，正是要有这样庄重宁静的气氛。
"阿斯帕齐娅": 唉。在我面前展开的画卷，是哪一座覆灭神殿的浮雕墙？如此洁白无瑕的石材，取自米诺斯的哪一座山峰？
"阿斯帕齐娅": 还有用文物堆砌出的家庭一角，对古代米诺斯生活场景的复现，多么精彩的想象力。
"阿斯帕齐娅": 只是——
"阿斯帕齐娅": 这一切都弄错了！
"阿斯帕齐娅": 因为我认得你，曾摆放在神殿正中的金杯。许多年前，我的外祖父来这里看过你，我的母亲亦然。
"阿斯帕齐娅": 我的家族曾因为遗失了你而受苦无数。
"阿斯帕齐娅": ......这座博物馆为什么把它放在装发酵乳的陶碗中间？无论依据材质还是装饰风格，都应该能判断它们不是成套的物品！
"阿斯帕齐娅": 与它成对的另一只金杯又去了哪里？当年萨尔贡人将它们全部掳走，为什么不知道妥善保管？
"阿斯帕齐娅": 甚至展品介绍也——
她久久地凝视展签，继而将金属片从墙上拔下，检阅背面。
无论哪一面都无比光滑平整，只映出她自己的影子。
"阿斯帕齐娅": 抱歉，这个只是没写。
"阿斯帕齐娅": ——但这些文物出现在这里，才是最大的错误。
"阿斯帕齐娅": 百余年前，米诺斯人受尽屈辱，看着萨尔贡的军队踏入米诺斯的领土，肆意践踏我们的文明与历史。
"阿斯帕齐娅": 本不该如此......
"阿斯帕齐娅": 我必须拿走它们。
"乱转的员工": 诸位，顺着阶梯往下，你们就可以顺利离开博物馆了。
"乱转的员工": 那个，我还有事，先走了。
"迷路的游客": 我还是感觉哪里怪怪的。
"疑惑的游客": 来时我们好像走的不是这条路啊......？
"迷路的游客": 她是这里的员工......应该不会错的吧？
"迷路的游客": 我们真的能从这里出去，然后回家吗？
"阿斯帕齐娅": 我应当带你们回家。
"阿斯帕齐娅": 我应当把你们交给米诺斯的祭司，由他们进行研究，由他们保存。
阿斯帕齐娅庄重地走向展台，捧起金杯。
"阿斯帕齐娅": 米诺斯的诸多文物就不该躺在这间不见天日的展馆中，不受重视，无人问津。
"迷路的游客": 别挤，别挤啊！我都看不到前面的路了，安全出口怎么连指示地灯都没有！
"迷路的游客": 哎，那边有个工作人员在摆放展品，她看起来比刚才的人可靠！赶紧问问！
"阿斯帕齐娅": 你们是来参观——
"迷路的游客": ——请问这里是离开展馆的路吗，女士？
"阿斯帕齐娅": ......
"阿斯帕齐娅": 我有什么可以帮到你们的吗？



03.AS-2 馆中特别行动



"佩佩": 真是精细啊，刚刚没注意到，这个家伙居然连表情与口型都能够模仿。
"佩佩": 张开嘴让我看看，啊......
"无名古尸": （张嘴）
"佩佩": 咽喉处很明显有类似声带的发声装置，那为何到现在你都一言不发？
"佩佩": 奇怪，按理说，发声也是声带与肌肉的动作，你应该能够模仿才是啊......
佩佩靠近尸体，把手搭上它的喉咙，而尸体则依着她的样子，将手按在佩佩的喉咙上。
"佩佩": 你知道......
"无名古尸": ......
"佩佩": 你......知......道......
"无名古尸": 你......滋......得......
迅速抽回手，佩佩不可思议地捂住嘴巴，眼中透出惊喜的光彩。
"佩佩": 真的能说话啊......
"佩佩": 太神奇了......想不到沙阿那个年代真有如此精巧的工匠技艺。
"佩佩": 先祖曾在一本《古历纪工艺考证》中提及......
"佩佩": 有异人可用源石回路宝石封存人的意识，然后用黄金为其重塑躯壳，可供人行动千年而不腐。
"佩佩": 长生军......失传的技艺......陛下会对你很有兴趣的......
"佩佩": 宝库肯定藏在你记忆的深处。
"无名古尸": ......
"佩佩": 你可不能仅仅是学我说话，你还得告诉我它到底在哪里。
"佩佩": 让我看看......
"佩佩": “第一颗代表心脏，自它跳动，我们便存在。第二颗代表肺，当我们初次呼吸，记忆便开始。”
"佩佩": “第三颗代表胃肠，食物进入肚皮，舌头变得挑剔，我们有了喜好、个性。第四颗代表肝脏，我们清醒着进入夜晚，为了职责与义务。”
"佩佩": 第五颗......
"佩佩": 第五颗是什么？
"佩佩": 没有，诗歌到这里就断了......
"佩佩": 看起来那位阿尔萨兰的前代研究者也没有答案。
"无名古尸": ......
"佩佩": 但你一定能帮我找到答案，对吗？
"无名古尸": ......
女孩再次伸出手，将手指按在尸体的喉咙处。
"佩佩": 是的，女士。
"无名古尸": 是的，女士。
"佩佩": 嗨，学人精。
"无名古尸": 嗨，学人精。
(震动)
缓缓抽回手，女孩又握住尸体的手，用尽力气攥紧，而尸体也回握住她。
"无名古尸": ......
"佩佩": 我就当你答应了。

"娜仁图亚": 阿雅吉，我已经到了，为什么我没在门前看到你？
"娜仁图亚": 你现在在哪里？
(震动)
"娜仁图亚": 什么？！
"娜仁图亚": （小声）你说你不知道你现在在哪里？
"娜仁图亚": 没有通行证我要怎么进去......该死，这里的馆长把办公室搞得像保险柜一样。
"娜仁图亚": 不，来不及了，这会儿人都快疏散干净了！
"娜仁图亚": ......
"娜仁图亚": 告诉我......阿雅吉，走廊上的窗户和馆长办公室的窗是相邻的吗？
"娜仁图亚": ......是，我知道很高。
"娜仁图亚": 我会小心的。

"阿斯帕齐娅": 第一，博物馆内禁止喧哗。第二，无序乃是理性的大敌。
"阿斯帕齐娅": 不要推搡，这里陈列的雕像与大型壁画没有展柜保护，很容易——
(震动)
"阿斯帕齐娅": 就像我刚刚说的一样，这尊雕像差点就摔碎了，这很不好。
"阿斯帕齐娅": 历史虽然已经过去，但绝不是与我们无关，可能我们摔碎的，是五百年前的人们征服山峰的欢呼，或他们高举葡萄酒杯的笑声。
"迷路的游客": 啊，您解说得真好......
"迷路的游客": ......但您确定要一直扛着这个雕像吗？还有您手里的其他东西？
"阿斯帕齐娅": 嗯，我要把它们带回它们该在的地方。
"迷路的游客": 都要闭馆了，您真敬业。
"阿斯帕齐娅": ......闭馆？
"迷路的游客": 哎，广播突然说有什么紧急事件，吓死人了！
"迷路的游客": 那个带我们离开的糊涂蛋员工一路上左右不分，嘴上说左转，结果把我们往右边引，左拐的时候，她又喊着接下来往右边走。
"阿斯帕齐娅": 这一点我认同，女士，我也对这座博物馆在某些方面的处置略有不满。
"迷路的游客": 那个员工莫名其妙把我们带到这个鬼地方来，自己又跑得无影无踪。
"阿斯帕齐娅": 这一点我不认同，女士，容我申辩，这里并不是鬼地方，而是米诺——
"迷路的游客": 你不知道，发现迷路的时候，我们都吓坏了。
"迷路的游客": 要是没来得及离场，被关在博物馆里面，肯定只能见到凶神恶煞的亡魂啊！
"迷路的游客": 你看那将领的盔甲，看那活祭的祭坛......
"虚弱的游客": 对......！这就是为什么我一直不敢来博物馆......
(震动)
游客的后脑勺即将撞到地板的一瞬间，阿斯帕齐娅拉住了他。
雕像、陶罐与金杯都被临时放下，与伊比利亚人开拓玻利瓦尔商道所用的火炮并排。
"迷路的游客": 宝贝！你怎么了？！
"阿斯帕齐娅": ......应该是受到过度惊吓导致的晕厥。
"阿斯帕齐娅": 我这里有嗅盐，能够救急，但出去之后需要及时去医院检查。
阿斯帕齐娅熟练地压碎裹在棉花中的薄玻璃管，将湿润的棉球凑近游客的鼻子。
(震动)
随后，她扛起苏醒的游客，平静地走到队伍最前面。
"阿斯帕齐娅": 发生了紧急事件，是吗？
"虚弱的游客": 姐姐......你的胳膊好有力。
"阿斯帕齐娅": 大家跟好我，出了事情，我会保护好你们。
"虚弱的游客": 姐姐......好棒。

"梅捷缇克缇": 唉，小家伙，以后不要乱跑了好吗？
"梅捷缇克缇": 我有印象，你是拉恕尔养的宠物——
(震动)
"梅捷缇克缇": ——哎哟，你怎么挠我！我可刚从人潮里把你解救出来，让我抱一会儿不好吗？
"梅捷缇克缇": 你的毛可真软，拉恕尔到底是怎么把你搞到手的？我之前也想要一只这么特别的，但他死活不肯告诉我你是什么品种，去哪儿能买到。
"梅捷缇克缇": 我一开始还不明白自己为什么这么喜欢你，最近才恍然大悟，你长得特别像暗阑时代的云兽雕像。
"梅捷缇克缇": 正好，现在工作人员都安排好了，游客在有序撤离，既然不能让你乱窜，我带你去我的工作室看看正在修复的那尊雕像吧。

越过层层向下的阶梯，梅捷缇克缇来到了用于文物修复的房间。
为了减少对文物的影响，空调温度很低，空气又冷又干。巨大的房间内只有一盏白炽灯照明，她吐了一口气，发现竟然能够凝成白气。
平时协助修复的员工都被派去维持馆内秩序了，地下层一片死寂。抽抽鼻子，她觉得心跳得有些快。
"梅捷缇克缇": 不要怕，小家伙，我的工作台就在这里......
"梅捷缇克缇": ......
桌台上还残留着一些类似树脂的金色物质，那是缇缇使用源石技艺辅助修复文物的痕迹。
但原本放在桌上的云兽雕像却不见踪影。
(灰幕)

"乱转的员工": 呃，我没看到云兽......

"异乡的游客": 刚刚，在你的额头有一片阴影掠过，这不是什么好征兆，它预示着你会遭遇厄运。
(灰幕结束)

"梅捷缇克缇": 你......你到底是什么？
"梅捷缇克缇": 你难道也复活了？和那具古尸一样？！
(震动)
"梅捷缇克缇": 啊啊啊！我辛辛苦苦把你修好，不是为了让你和阿娜特的研究对象一样乱跑！
"梅捷缇克缇": 更不是为了给自己招来厄运！
(震动)
"仓库保管员": 发生什么了？！！谁在尖叫！
"仓库保管员": 咦......梅捷缇克缇女士，您、您怎么在这里？
"仓库保管员": 我刚刚接到要暂时闭馆的通知，以为您短时间里不会回来了，所以帮您把修复中的文物收起来了......
"梅捷缇克缇": 那个......
"梅捷缇克缇": ......没什么，我今天想加班了，你先走吧。

"博物馆保安": 什么？从东南展厅疏散的那一批游客还没找到？不是说让吉雅阿带出来了吗？
"博物馆保安": 我得关门了！是副馆长亲自发布的紧急闭馆指令，我都不敢想事情有多糟糕！
"博物馆售票员": 有人去里面找过了吗？
"博物馆保安": 已经派人去了，但都说找不到，吉雅阿到底把人带去哪里......
"博物馆保安": ......
"博物馆售票员": 你怎么突然不说话了？
"博物馆保安": 听......
"博物馆售票员": 听什么？
"博物馆保安": 是风的声音。
阳光下，一列队伍缓缓走出了大门。
为首的女人神色专注宁静，几十人的队伍井然有序，跟随在她后面。
风带起她的衣角，吹乱她的发丝，她毫无动摇地扛着肩上虚弱的游客，犹如一尊屹立多年的雕像被赋予生命。
"博物馆保安": 我总觉得这个场景在哪里见过......
"博物馆售票员": ......我明白，我看过那尊雕像很多次。
"博物馆保安": 还有这样姿势的雕像？
"博物馆保安": 哎，谢天谢地，终于可以关门了。
"迷路的游客": 太感谢了，这是我的名片，您如果有空照顾我们家族的宝石生意，我一定为您提供最高等级贵宾服务。
"热情的游客": 哎，你到时候来炎国玩啊！阿姨家里还有个大小伙子，长得可好看了。我姐家还有个单身的大姑娘，刚去天师府上班，你也可以见见。
"阿斯帕齐娅": 谢谢各位，不必......我只是做了我该做的事情......
"阿斯帕齐娅": ——
阿斯帕齐娅猛地回过头。
卷帘门缓缓放下，安保人员正将“今日闭馆”的牌子拖到大门前面。
"阿斯帕齐娅": ......我的金杯呢？我的陶罐呢？我的雕像呢？

"风姿绰约的女人": 娜娜到底跑哪里去了？都这个时候了。
"风姿绰约的女人": 石榴石浆果店里没有，琉璃珐琅瓷器店里没有，就连她最爱钻的天青石贴面水管里也没有......
"穿金戴玉的男人": 啧，找了这么久，简直是浪费时间。我看，那只云兽就是被博物馆暴走的古尸吃掉了。
"风姿绰约的女人": 讨厌，怎么会！
"穿金戴玉的男人": 宠物，宠一时就得了，好东西多的是，你想要什么，我都买给你！
"穿金戴玉的男人": 只要你点头，别说那些名贵宝石了，就连整个宝石交易所，我也能买下来送给你！
"神秘的动物": （抬起头）
"风姿绰约的女人": ......
"穿金戴玉的男人": 嗯？你这是默许了？
"风姿绰约的女人": 不，你看你脚边......
"神秘的动物": （瞪）
"穿金戴玉的男人": ......怎么是拉恕尔养的崽子。
"穿金戴玉的男人": 喂，装什么威风？
"冷傲的市民": ......
"穿金戴玉的男人": ......咳咳，你在啊，拉恕尔。
"穿金戴玉的男人": 正好，我们做个买卖吧，我的姑娘对这间宝石交易所很感兴趣。
"风姿绰约的女人": 别闹了，我可没这么说......
"穿金戴玉的男人": 我在萨尔贡东部有一座移动平台，建有规模庞大的源石精炼厂、染料厂、粮食加工厂......
"穿金戴玉的男人": 把所有这些都加起来，再附赠些金银财宝，够买下这间宝石交易所了吧？
"拉恕尔": 我拒绝。
"拉恕尔": 你承担不起这间宝石交易所的重量。
"穿金戴玉的男人": 哼，重量......小伙子，你倒是继承了你外祖父的高傲。
"穿金戴玉的男人": 听我一句劝吧，要么像他一样，养几头凶恶的裂兽来镇场子。
"穿金戴玉的男人": 要么让你的小云兽来迎接像我这样的贵客，至少它还会卖卖乖......
(震动)
"穿金戴玉的男人": 嘶——好痛！你这畜生，你咬我？
"神秘的动物": （呲牙）
"神秘的动物": 汪——！
"穿金戴玉的男人": 喂，滚开啊，别追——别追上来啊——！
"神秘的动物": 汪汪汪——！
"拉恕尔": ......沃奥，别生气了。
"拉恕尔": 不怀敬意的人已经跑远了。
"沃奥": 汪嗷！
"拉恕尔": 嗯？想要让我摸摸？......这里吗？
"沃奥": （开心地舔舔）
一只羽兽飞来，停落在年轻的宝石交易所监管人的肩头。
监管人拨弄了金属羽兽身上的几处机关，随后上紧发条，将羽兽重新放飞。
"拉恕尔": ......他越来越活跃了。
"拉恕尔": 你们想必也很期待和他见面吧？米奥很少这么积极地外出。
"拉恕尔": 刚才那人说要让小云兽来迎接重要的客人，或许也有道理。
"拉恕尔": 嗯......米奥真的能把他吸引过来吗？


  <行动后>


"阿娜特": 唔......
"？？？": 你醒了，阿娜特？
"阿娜特": 嘶......好痛。
"佩佩": 你晕倒的时候磕到了后脑勺，可能是因为这个。
"阿娜特": 可我不止后脑勺痛，我全身都痛，咦，我肩窝上为什么会有淤青？
"阿娜特": 怎么我的膝盖上也有......？
"无名古尸": 呜......
(汗)
"阿娜特": 啊——！！你不要靠近我！
"佩佩": 冷静！冷静！阿娜特！
"阿娜特": 谁看到古尸复活都不能冷静吧！那家伙刚才是不是扯了我的耳朵！我的耳朵还在吗？
"佩佩": 它不过是一具只会模仿人们动作的古尸，对你并无恶意，对其他人也没有。
"佩佩": 就当它是个会动的摆设吧，阿娜特！
"无名古尸": 呜......
"阿娜特": ......你为什么丝毫不紧张，佩佩？
"佩佩": 请不要用这么犀利的眼神看我，拜托！
"阿娜特": 你到底做了什么？
"佩佩": ......我昨天将我挖掘到的宝石放入了它的胸腔，上面的源石回路可以将它唤醒。
"阿娜特": 昨天？
"佩佩": 如此重要的考古发现，你肯定不会拱手让人，法尔贾万达巴德博物馆在陛下心中地位特殊，就算我是帕夏之女也没奈何。
"佩佩": 所以......只能背着你偷偷进来了。
"阿娜特": 佩佩，我不想把它借给你是有理由的。
"佩佩": 什么理由？放心好了，论文上加个署名的事情，没问题。
"阿娜特": 不是这个......
"佩佩": 投资？赞助？哪怕是翻修整个展馆都可以！
"阿娜特": ......
"佩佩": 你这是什么眼神？
"阿娜特": 我只是不懂......你为何如此执着地要成为沙尔-阿加德的史官？就算继承了你父亲的帕夏头衔，你依然可以继续自己的研究。
"阿娜特": 你明知道作为史官进入黄金之城后，就再也无法离开那里了。
"阿娜特": 学院中学习到的一切，为深入沙漠寻找遗迹而经受的训练，四处游历的见闻，在你成为史官后将再也无法派上用场。
"阿娜特": 或许，你只是不甘心那个被选中的人是你的弟弟？
"佩佩": ......我不是逞一时意气才想要成为史官的。这是我们家族中每个成员的梦想。
"佩佩": 在小的时候，谁不期待着长辈将那支金色的灯芯草笔交给自己。
"佩佩": 他们会告诉你，拿起这支笔，你便要承担非凡的责任，记述所有曾经发生的事情以供后人阅览。
"佩佩": 你所记载的、所传递的是属于时代的真相。是不会被深埋进黄沙与泥土，不经猜测与考察便能得出的最为完整的真相。
"佩佩": 这就是我从小到大一直想要做的。
"佩佩": 我想要参与记述萨尔贡的历史！我想要沙阿的荣光在我的笔下焕发出永恒的生命力，持续照耀着每一个读到它的人。
"佩佩": 在千年万年后，有一个我注定无缘得见的家伙，他会从那些文字中，与我，与沙阿产生共鸣，我们三人由此而连结。
"佩佩": 想想，阿娜特，这不是很浪漫的事情吗？
"阿娜特": 唉......
"阿娜特": 你的坚持，我都看在眼里......你从来都是不到头不死心。
"佩佩": 我就是这种执拗的人嘛，我还以为你和缇缇早就习惯了。
"阿娜特": ......好，我可以代表博物馆出借这件文物，以及......另外一颗宝石。
"阿娜特": 多年前一位私人收藏家赠送给我们，研究时我们发现这具古尸与宝石有关联，但具体的使用方法我们毫无头绪。
"佩佩": 在博物馆里也有一颗宝石？！
"阿娜特": 这不重要，重要的是我也会一同将它交给你研究。
"佩佩": 就这么轻易地给我吗？
"阿娜特": 怎么可能？除了署名、投资、赞助，还有新展馆的冠名费，一个都不能少哦！
"佩佩": 都是小钱！都是小事！
"阿娜特": 佩佩......
"佩佩": 嗯？
"阿娜特": 我还是希望你能接受，有些时候，没结果也是一种结果。
阿娜特打开抽屉，拿出一个层层裹好的布包。
掀开布料，一颗四棱锥体的宝石躺在其中，和放入尸体胸腔中的别无二致。
接过宝石，佩佩难以抑制内心的惊喜，简直就要惊呼出来。
"佩佩": “第二颗代表肺，当我们初次呼吸，记忆便开始。”
"佩佩": 可别让我失望哦。
佩佩将手探入尸体胸腔内，宝石才靠近，便被尸体胸腔内那片流动的萤蓝光芒吸纳进去。
"佩佩": 尘封在黄沙中的守墓人，我将流失于时光中的记忆找回，送还于你。
"佩佩": 为我指出前往沙阿宝库的道路吧，来自过往的旅人！
"无名古尸": ......
"佩佩": ......
"佩佩": 怎么第二颗宝石放进去，他连动都不动了......？
"阿娜特": 这......又算什么结果？
(震动)
"？？？": 啊————————！！
"佩佩": 我没喊，谁在喊？
"阿娜特": 是缇缇的声音？
"佩佩": 这是......怎么了？
"阿娜特": 我去看看，展品你看好！

"梅捷缇克缇": 什么嘛，为什么不早告诉我，你只是普通的小云兽！
"梅捷缇克缇": ......普通的小云兽确实听不懂人类在说什么就是了。
"梅捷缇克缇": 看来游客已经顺利疏散了，我们可以安安全全地出去了。等出了门，我就把你放下来，你自己回拉恕尔那里，没问题吧？
"梅捷缇克缇": 哎，别再拍我了！被人抱着不用自己走路还不舒服吗？
"梅捷缇克缇": 摸摸毛，摸摸毛......来，我给你看别的小云兽。
"梅捷缇克缇": 你看这个化妆盒上面的图案，云兽居然和官员是平起平坐的。顺带一提，这个是我修复的哦。
"梅捷缇克缇": 还有这边的壁画。这是一件极其罕见的，从黄金之城流出的文物。
"梅捷缇克缇": 为了更加准确地修复壁画上的图案，我翻阅了所有我能接触的、有关黄金之城的典籍，还去问了好几个进入过那座城市的人。
"梅捷缇克缇": ......欸，我这样是不是很容易被人误会？他们不会以为我在觊觎黄金之城的秘密吧。
"梅捷缇克缇": 算了，不想了。还好，你只是一只小云兽，博物馆里现在也没有其他人，我刚才那些话不会给我招来什么麻烦。
突然，女孩的耳中捕捉到了一丝细微的碎裂声。
"梅捷缇克缇": ......
"梅捷缇克缇": 不会吧......？
(震动)
"梅捷缇克缇": 啊啊啊啊——！这个节骨眼怎么还有玻璃爆开？
"梅捷缇克缇": 阿娜特知道我就死定了！
快步跑向展览台，梅捷缇克缇为一地的碎玻璃而感到震惊。
展柜的玻璃是特制的，博物馆的环境也很稳定，本不该出现这样的事故。
女孩急忙抬起头，去查看展柜内的展品，却发现苍白的照明灯光下，空无一物。
就在她想要仔细检查玻璃碎裂的痕迹时，突然感觉有冰冷尖锐的物体抵在背后。
"梅捷缇克缇": 如果是恶作剧的话，现在可以停下了。
"梅捷缇克缇": 现在还在工作时间，少跟我闹着玩！
"？？？": ......
"梅捷缇克缇": 哪个部门的？装聋作哑干什么？
"梅捷缇克缇": ......
"梅捷缇克缇": 再不说话......扣你工资哦......
话音刚落，梅捷缇克缇感觉到抵在背后的东西被拿开，她松了一口气，回过头。
"梅捷缇克缇": 真是的，也不知道你是哪个部门的实习生，连副馆长都敢作弄，大人有大量，我......
(震动)
"梅捷缇克缇": 啊——————！
"梅捷缇克缇": 你......你......
"梅捷缇克缇": 你怎么从柜子里出来了！

"无名古尸": ......
"无名古尸": ............
"佩佩": 都等了这么久，怎么一点反应也没有？阿娜特也没回来......算了，四处转转吧。
"佩佩": 阿娜特这家伙爱低调的性格真是没变，都做了代理馆长，这间办公室看着还是如此简朴。
"佩佩": 我记得以前在宿舍，她的书最多，怎么到了这里一本都没看到。
"佩佩": 肯定藏在哪里......
"佩佩": 哦，我就说嘛，怎么可能没有书架，原来是装进墙体里面了。
"佩佩": 正好家里的书房要重新翻修......到时候得让她把设计师推荐给我。
"佩佩": 让我看看你都放着什么好东西，嗯，《西南部落信仰调查》《沿河地区出土首饰考》，还有......
"佩佩": 《大地巡旅》？E.E.埃里克森博士著，这名字有点耳熟......对了，不就是之前来学院做过演讲的那位维多利亚学者吗？
"佩佩": 好多标签，想不到阿娜特这么喜欢他的书。
"佩佩": 萨尔贡......在二百七十二页......
"娜仁图亚": （呼......那位碍事的女士终于走了。）
"娜仁图亚": （这房间未免有些太豪华......嘶，这沙发上的抱枕是拿金线绣的吗？）
"无名古尸": ......
"娜仁图亚": （这不是海报上的古尸吗，就这么摆在屋子里也不嫌晦气，有钱人到底品味不一样。）
"佩佩": ......
"娜仁图亚": （她在那里......很好，她很专注......）
"娜仁图亚": （对不住了......）
缓步上前，娜仁图亚将手伸入口袋，取出那支藏了很久的针剂。
她曾花费无数日夜刻苦训练，直至脚底磨出血泡，才学会如何走过一片沙丘而不留下任何脚印。
现在如果她愿意，可以带着铃铛穿越闹市中的人群而不激起一声铃响。
那位帕夏的女儿就在眼前，房间内除了她俩再无别人。
可就在娜仁图亚扬起手准备将针剂刺向女孩的瞬间，她的手突然被人捉住，停在空中动弹不得。
(震动)
"娜仁图亚": ——？！
"娜仁图亚": （难道......有暗卫跟随在旁？）

"娜仁图亚": （你——！）
(震动)

娜仁图亚说不出话。
方才在沙发上一动不动的古尸不知何时来到她身后，紧紧抓住她的手。
她想要挣扎，但没有任何作用，只能惊恐地看着针尖逼近自己的脖颈。
(震动)
而它的另一只手，正牢牢捂住她的嘴巴，直到整支针剂都被注射进娜仁图亚的血管中，它才松手。
意识逐渐模糊，她感觉到自己像个羽兽崽子般，被拎着衣领提至窗外。
双脚悬空之际，她的脑海中只剩下一个念头——
要是有个靠谱些的手下就好了。
"无名古尸": 幽暗角落里的虫子。
(震动)
(渐清晰)

"佩佩": 嗯......？
"佩佩": 好像有声音......发生什么了？
(疑惑)
"佩佩": 你、你怎么又能动了......
"无名古尸": 我的头脑......不再混沌，周围开始清晰，需要语言表达自身的认知。
"佩佩": 你、你是活着的吗？
"无名古尸": 我的生命早已逝去，你所见到的，只是一具经过良好处理的躯壳。
"佩佩": ......
"佩佩": 你的身份？告诉我。
"无名古尸": 兴盛之时，我是万王之王路加萨尔古斯身边的御前护卫军官，在战役中为他保驾护航。
"无名古尸": 衰败之时，则甘心化为不朽之物，宁愿经受时光磨消，守卫陛下所建之宝库不受侵扰，捍卫陛下所宣之誓言得以实现，等待......
"无名古尸": 等待陛下所去之身影终能回还。
"佩佩": 那我、我该如何称呼你？
"无名古尸": 祖巴伊达姆-亚努尔-阿尤苏，我的名字。
"无名古尸": 你可唤我——祖拜尔。

"好奇的孩子": 妈妈，那个姐姐一直坐在水池边低着头做什么？
"温柔的母亲": 看衣着打扮，那个姐姐应该是米诺斯人，据说米诺斯人善思考与哲辨。
"温柔的母亲": 我猜她应该是在思考什么了不起的道理吧。
"好奇的孩子": 了不起的道理？那是什么？
"好奇的孩子": 不过她的样子......好好看......
"博物馆保安": 女士，博物馆已经关门了。
"阿斯帕齐娅": 我知道，所以我正在等待开门。
"博物馆保安": 这......我想短时间内是不会重新开门的。
"博物馆保安": 一般来说，得等到馆长处理完紧急情况，评估完风险，报告给投资人，然后公布开馆日期......
"阿斯帕齐娅": 我知道，另一位工作人员已经说过一模一样的话了。
"阿斯帕齐娅": 如你所见，我正在等。
"博物馆保安": ......您刚才说自己有东西遗落在馆内了，是吗？
"阿斯帕齐娅": 是的。
"博物馆保安": 是很重要的物件吗？不能等我们的工作人员捡到后联系您来认领？
"阿斯帕齐娅": 不能。
"博物馆保安": ......这样吧，女士，我悄悄把门打开，联系同事陪您一起回去找。
"阿斯帕齐娅": 多谢——
"好奇的孩子": 妈妈......
"温柔的母亲": 怎么了？
(震动)
"好奇的孩子": 看，有人从博物馆楼上跳下来了！
听到孩子大声的呼唤，阿斯帕齐娅猛地抬头，看到一个女人正从高楼上坠落。
来不及细思，阿斯帕齐娅便迈开步伐，不顾博物馆即将开启的门，向前伸出双臂。



04.AS-3 相约大巴扎



"阿娜特": 缇缇......
"梅捷缇克缇": 去，捡回来！
"宝石构装体": （飞速接球）
"宝石构装体": （飞速捡回）
(Kira☆)
"梅捷缇克缇": 嘿嘿嘿，谁是最乖的小可爱啊！嘿嘿，是你呀，小东西。
"阿娜特": 缇缇，别玩了！
"梅捷缇克缇": 以前家里不让养宠物，我一直都很想养一只的，看，它好乖的！
"阿娜特": 那不是宠物，是博物馆里的文物。
"梅捷缇克缇": 你怎么不管佩佩？你看，她甚至在冲着博物馆的文物发火！
(震动)
"佩佩": 你再给我说一遍！
"祖拜尔": 很抱歉......佩佩小姐，我无法回答，搜索过记忆后，宝库的位置仍是模糊一片。
"梅捷缇克缇": 真的不要拦一下她吗？感觉那具古尸缩在那里的样子有点可怜......
"佩佩": 不行，再冥思苦想一下！说不定就回忆起来了！
"祖拜尔": 那都只是无用功......
"祖拜尔": 为了确保秘密不被轻易透露，分割我记忆的人将有关宝库位置的信息打乱，均匀散布在每一颗宝石中。
"祖拜尔": 这样的宝石有五颗，或许你需要将它们收集齐全，我才能告知你答案。
"佩佩": 那其余宝石的位置在哪里？！这个你总知道吧！
"祖拜尔": （摇头）
"佩佩": 你不知道！
"祖拜尔": 那支将我击败的军队，由许多帕夏和王酋集结......他们离去时，宝石也被他们带走。
"佩佩": 找到它们的机会听起来非常渺茫......
"佩佩": 不，也许还有其他的办法！给我再用你的黄金脑袋想想！
面对佩佩的步步逼问，高大的祖拜尔慢慢退至墙角。
从面前这个不及自己胸口高的女孩身上，他感受到莫大的威压，甚至那副坚硬的金属膝盖都只能勉强支撑身体。
"祖拜尔": 请不要焦急......女士......
"佩佩": 那你倒是说点有用的哇！
"祖拜尔": 宝石之间存在微弱的引力，只要它们在我附近，我就能感知到。
"佩佩": 你在开什么玩笑！难道我要带着你走遍萨尔贡吗？单这座城市中的宝石数量就是以千万计的！
"祖拜尔": 我刚才好像隐约感知到了......
"佩佩": ......
(得意)
"佩佩": 那还等什么，现在就走吧。
"梅捷缇克缇": 你看，阿娜特，她甚至想把博物馆的文物带出去！
"阿娜特": ......
"阿娜特": 佩佩，祖拜尔先生是博物馆的珍贵文物，我们必须确保他一直处在适宜的储存环境中，外界环境复杂，不能让他直接接触。
"阿娜特": 你得打消这个念头，留在这里研究，千万不要出去。
"佩佩": 明年追加百分之四十的投资？
"阿娜特": 不行。
"佩佩": 加一倍？
"阿娜特": 我会让员工一直盯着你们的，回见。
"佩佩": 她现在怎么油盐不进的......？
"梅捷缇克缇": 祖拜尔先生，虽然讨要别人的陪葬品不是什么礼貌之举，但我还是想问下。
"梅捷缇克缇": 你可以把它借我玩两天吗？
"宝石构装体": （飞速转圈）
"祖拜尔": ......
"祖拜尔": 当然可以，女士。

"佩佩": 好了，快出来，祖拜尔先生，没人了。
"佩佩": 为什么你这么大的个子钻这么矮的洞却丝毫不费力？就好像是液体一样流出来的。
"祖拜尔": 我的身体弹性极大，可以轻松通过狭窄的缝隙。
"佩佩": 我还想，要是你钻不出来，就只好拆墙了。
"祖拜尔": 并不需要这么麻烦。
祖拜尔合上眼，摇晃着手中的叉铃。
(震动)
