
《27.空想花庭》

01.HE-ST-1 奉上冠冕
"德尔菲娜": 卡洛琳你不是到现在都还穿着那件薄外套吗？很快就要大降温了，总该给你准备件更厚实点的......
"德尔菲娜": ......
"卡洛琳": 小菲娜？你怎么了......
"德尔菲娜": 卡洛琳，你手上拿着的那是什么？
"卡洛琳": 这......没什么。就是点干粮。
(震动)
"德尔菲娜": 不对，你让我看看！
"卡洛琳": 哎......等一下！
(震动)
萨科塔女孩伸手夺过对方藏在身后的所谓的干粮，她几乎是凭借直觉，在被阻止前将那又干又硬的东西从中间掰开。
填充在干粮内部，某些一直被隐藏起来的真相，就此暴露在她的眼前。
"德尔菲娜": 这是......什么？
"德尔菲娜": 糠皮？还有......这是木屑？！
"卡洛琳": ......
(震动)
"德尔菲娜": 卡洛琳？！
"德尔菲娜": 你不是和我说你们不缺吃的......不缺，你们就吃这个？
"卡洛琳": 不是的，小菲娜，你听我说。我们、我们只是......
"德尔菲娜": 只是什么？
"德尔菲娜": 告诉我吧，卡洛琳。
"德尔菲娜": 告诉我吧......我们这日子，到底已经过到什么样的地步了？

咚。
咚。咚咚。咚咚咚。
门被敲响了。
门其实并没有锁。但门外的客人在得到回应前，依然只是敲门。
这是曾经在学校里，几个好友之间约定过的暗语。时间过去太久，蕾缪安原以为自己已经忘记，但事实证明，她并没有忘。
客人敲击出的暗语的含义是：
“解救成功。”
以及：“第一个到达。”
"蕾缪安": 请进。
"斯普莉雅": 您好，客房服务。
"蕾缪安": 谢谢，餐品请放在桌上就好。需要小费吗？
"斯普莉雅": 哪有问别人要不要小费的，这种事不都是看心意给的？
"蕾缪安": 唔，说得也是呢。
"斯普莉雅": 你好像一点也不惊讶，蕾缪安学姐。
"斯普莉雅": 看到是我会失望吗？
"蕾缪安": 怎么会。
"蕾缪安": 你会来，就证明这边的消息已经传回拉特兰了吧？
"斯普莉雅": 嗯？嗯......差不多吧。奥伦那家伙竟然把学姐你一个人丢在这，我回头就把这事告诉莫斯提马和菲亚梅塔她们。
"蕾缪安": 啊哈哈，还是放过他吧。
"斯普莉雅": 没意思——
"蕾缪安": 好了，言归正传。教宗阁下不会安排你一个人来这里，这点我还是可以确定的。那么......
"蕾缪安": 我需要你汇报你的任务，以及队伍构成。
"斯普莉雅": 变成公事公办的口吻了，好吧，蕾缪安枢机辅佐官阁下。
"斯普莉雅": 本次任务由教宗阁下直接派遣，由公证所执行者费德里科带队，成员有同是执行者的里凯莱·科伦波，以及主动申请加入的本人。
"斯普莉雅": 我们接到的首要任务是找到你和奥伦，次要任务是调查这座修道院。
"斯普莉雅": 哦对了，费德里科还有个维稳的任务，我觉得教宗阁下这次真是找错人了。
"斯普莉雅": 汇报完毕。
"蕾缪安": 嗯......原来如此，教宗阁下竟然派了那个费德里科来吗......
"蕾缪安": 情况我大致了解了。辛苦了，莉雅。
"斯普莉雅": 欸，这时候又喊名字。
"斯普莉雅": 所以学姐接下来打算怎么办？你看起来像是被限制了行动，不过实际上只是你本人不愿意走吧？
"斯普莉雅": 要是你想走，这里的人可拦不住你。
"蕾缪安": 我的腿还没好全呢。
"斯普莉雅": 那也一样。
"蕾缪安": 太相信我了哦，莉雅，虽然也可以啦......好吧，确实是我主动留下来的。
"蕾缪安": 如果费德里科要以非法拘禁之类的罪名逮捕这里的主教阁下的话，就麻烦你帮我和他澄清一下了。
"蕾缪安": 以及，抱歉，我暂时......还不打算离开。
"斯普莉雅": 我能问问理由吗？
"蕾缪安": 理由......嗯，因为外交并不是那种只靠铳和子弹就能解决的事情。
"蕾缪安": 论射击的话我是随时都有胜算啦，但如果坐下来协商谈判，说不好就是对方说服我。
"蕾缪安": 正好我和这里的居民还挺聊得来的，我也想看看，最后改变想法的会是谁。
"斯普莉雅": 欸，说得好像学姐真的会让步一样。
"斯普莉雅": 读书的时候学姐可是蹲守了我一整个学年，就为了抓我去学校上课欸！
"蕾缪安": 呵呵，我只是觉得如果莉雅因为逃课拿不到毕业证书的话，就太可惜了。
"蕾缪安": 至于这里的问题......至少我现在态度还很友好哦。
"蕾缪安": 我知道奥伦一定会把这里的情况汇报回去，所以我选择留下。我不想再刺激主教阁下，我总有种不太好的感觉......
"蕾缪安": 在掌握了这么多修道院的情报后，如果有机会再谈判一次，或许我能够让主教阁下的态度缓和一点，接受我的方案。
"斯普莉雅": 唉，我就猜到会是这种理由。
"蕾缪安": 你能理解那真是太好啦。
"斯普莉雅": 我可没这么说......
"蕾缪安": 但我知道你是这么想的。
"斯普莉雅": 我有点讨厌共感了。
"蕾缪安": 别这么说，你对这里的情况了解多少了？
"斯普莉雅": 知道一些。
"斯普莉雅": 除去有一群萨卡兹以外，没什么特别出奇的地方。
"蕾缪安": 你知道吗，他们一共派出了三位信使。
"蕾缪安": ......莉雅。
"斯普莉雅": 什么？
"蕾缪安": 我记得你并不喜欢出外勤任务，你为什么会主动申请？
"斯普莉雅": ......就不能是为了学姐才来的吗？
"蕾缪安": 说谎~
"斯普莉雅": ......
"斯普莉雅": 总之我先去和费德里科他们会合，把你这里的情况告诉他们。
"斯普莉雅": 不过说实话，我不觉得你的努力真的能有什么效果。
"蕾缪安": ......总要再试试。

"斯普莉雅": ......
"斯普莉雅": 唉，蕾缪安学姐越来越可怕了。
"斯普莉雅": 不过也无所谓......
"熟悉的男声": 终于有工夫和我联络了？
"熟悉的男声": 我还以为你见了蕾缪安一面，就要放弃你的任务了。
"斯普莉雅": 谁知道呢，搞不好哦。
"熟悉的男声": ......别开玩笑了，饶了我吧。
"斯普莉雅": 这可是你自己先说的。
"斯普莉雅": 行了，我没时间和你废话，说点正事。
"斯普莉雅": 呼......应付这种人真累人......
"斯普莉雅": 好麻烦的任务，啧，早知道就不接了。
"斯普莉雅": 嗯？什么人在那里！
"斯普莉雅": 欸，你居然真的跟过来了啊，小妹妹。
"福尔图娜": ......
"福尔图娜": 我、我不能放你一个人在修道院里乱跑！我得监督你不会做什么坏事！
"福尔图娜": ......还有......
"福尔图娜": 还有，我有一件事想拜托你......我会准备好报酬的！

"福尔图娜": 唔，让我看看......
"福尔图娜": 面粉，蛋......
"福尔图娜": 还有，还有......上次剩下来的那点糖被我放哪了......
"福尔图娜": ......唉，明明每天都有努力节省晚饭的食材了，怎么还是只有这么一点啊......
"福尔图娜": 要给斯普莉雅的，给斯特凡诺爷爷的，给菲娜和莱蒙德......还有杰拉尔德叔叔，克莱芒叔叔，卡洛琳姐，还有......
"福尔图娜": ......
"福尔图娜": 不管怎么分都不够嘛......
"德尔菲娜": 小福？
"德尔菲娜": 我进来了哦？有点事想和你说......你这是在干什么？
"福尔图娜": 啊，菲娜！你来得正好！
"福尔图娜": 你还记得之前我帮妮娜婶婶干了一个月的农活，换来的那些白糖放在什么地方了吗？
"德尔菲娜": 那都是多久前的事了，现在到哪里找去？
"德尔菲娜": 你找白糖干嘛？还有这些食材，你从哪弄到的......
"德尔菲娜": ......等会，小福，你该不会这时候还有闲心做甜品吧？
"福尔图娜": 呃，菲娜，你怎么了......你生气了？
"福尔图娜": 我不是有意背着你偷藏食材的，我只是想给大家一个惊喜。菲娜，你别生气，好不好？我做好了一定第一个让你尝尝！
"德尔菲娜": 小福，你......算了，先把东西放下吧，现在不是做这些事的时候！
"福尔图娜": 欸，可是......
"德尔菲娜": 还有什么好可是的？
"福尔图娜": 可是，我还答应了别人，要做青草格子饼给她当谢礼......
"德尔菲娜": ......谢礼？
"福尔图娜": 嗯！有人帮我修好了守护铳！我得好好谢谢对方才行！
"福尔图娜": 菲娜，真的好神奇啊，当这把铳被修好，我握上它的那个瞬间，一切都感觉很不一样！我好像......好像天生就知道该怎么使用它！
"福尔图娜": 你看！它变漂亮了好多，今后我们就可以一起用这把铳了！
"德尔菲娜": ......
"德尔菲娜": 你知道吗，小福。
"德尔菲娜": 我其实没有那么在乎是否有自己的铳，也不在乎斯特凡诺爷爷总说的什么信仰。
"德尔菲娜": 我甚至不在乎我从来没见过的拉特兰。
"福尔图娜": 欸？
"福尔图娜": 菲娜，你在说什么......？
"德尔菲娜": 我是个不合格的萨科塔吗？
"德尔菲娜": 或许我确实是。
"德尔菲娜": 但我在乎你，我在乎莱蒙德，我在乎斯特凡诺爷爷和杰拉尔德叔叔，还有克莱芒叔叔，妮娜婶婶，卡洛琳......
"德尔菲娜": 我在乎这里的所有人。我只有这一个家，只有这么点家人。
"福尔图娜": 你到底在说什么啊，菲娜！我当然也在乎大家，我和你一样——
(震动)
"德尔菲娜": 不！不一样！
"德尔菲娜": 如果你和我一样......
"德尔菲娜": 如果你知道莱蒙德他们过的是怎样的日子，你怎么还能在这样的时候有心情做这种玩笑一样的甜点，说那样天真的话？！
"德尔菲娜": 有时候我会觉得，自从拉特兰的人来了之后，你就有点变了。
"福尔图娜": ......什么？我没有......
"德尔菲娜": 小福，你的那把铳，是那个叫蕾缪安的拉特兰人帮你修好的吗？

"克莱芒": 主教阁下，我按您的吩咐，让两位客人在修道院内自由行动了。
"克莱芒": 这样真的好吗？您......您看起来好像不太舒服，还是先休息一下吧？
"修道院主教": 克莱芒啊，我没事，不要担忧。
"修道院主教": 去敲钟，这周的布道提前到今天，去通知大伙......
"修道院主教": 杰拉尔德，你们会来吗？
"杰拉尔德": 抱歉，斯特凡诺，我们还有不少准备要做，我不能保证有多少人会来。
"修道院主教": ......可以理解。
"克莱芒": 可是......
"克莱芒": 我们真的要接受他们的条件吗？难道真的就要这么抛下其他人......
"修道院主教": ......
"修道院主教": 不要多问。
"修道院主教": 去吧，克莱芒，快去吧。
"克莱芒": 我知道了......
"修道院主教": ......
"修道院主教": ......若信仰背叛了其自身，我也当，做出选择......
"修道院主教": 我需为此忏悔......


  <行动后>


"克莱芒": ......
"克莱芒": 杰拉尔德，你是打算和我一起去敲钟吗？
"杰拉尔德": 很奇怪吗？
"克莱芒": 奇怪。之前有一回我托你帮忙敲钟，你不乐意，最后还是使唤莱蒙德那小伙子。
"杰拉尔德": 好像是有这么回事。
"克莱芒": 我记得你不喜欢钟声。
"杰拉尔德": 谈不上喜欢不喜欢，都这么多年了。
"克莱芒": 这么多年了，你还是没能习惯它。
"杰拉尔德": 原谅我，钟声没给我留下过什么好的记忆。
"杰拉尔德": ......克莱芒，你还记得爱琳吗？
"克莱芒": 爱琳......
"克莱芒": 我怎么会忘？当初如果不是你和爱琳救了我，我早就被那群强盗丢进峡谷了。
"杰拉尔德": 哈哈，是她要救你，我本打算多一事不如少一事。
"克莱芒": 这话你别当我的面说啊......
"杰拉尔德": 哈哈，抱歉抱歉。
"杰拉尔德": ......
"杰拉尔德": 昨晚我们在外头扎营，收获不算很多，但处理起来也不轻松。
"杰拉尔德": 莱蒙德给他的猎物放血，我把火生起来。看着那点火苗逐渐向上蹿，也不知道怎么了，我忽然想起爱琳。
"克莱芒": 杰拉尔德......
"杰拉尔德": 我其实很久没有想到过她了。但直到我想起，我才意识到......
"杰拉尔德": 我甚至记不清她的脸。
"杰拉尔德": 她这个人，在我们这群人中间算是个怪胎。当初她和我说，看见修道院遍地的鲜花，听见这里的钟响，能让她心情平静。
"克莱芒": ......现在没有那么多花可以看了。
"杰拉尔德": 是啊，可惜了。
"杰拉尔德": 爱琳是真的喜欢这里的钟声。一直到她走的那天，还坚持等到钟声响起，才合眼。
"克莱芒": 所以你不喜欢钟声。
"杰拉尔德": ......或许只是害怕。我怕它再带来坏消息。
"克莱芒": 如果那时候我们有足够的药，或许她受的伤就不会恶化，也不会就这么......
"杰拉尔德": 没有如果。
"克莱芒": ......愿她能获得救赎。
"杰拉尔德": 是啊，但愿。
"克莱芒": ......
"克莱芒": 杰拉尔德，你们真的决定要走？
"杰拉尔德": 是真的。
"克莱芒": 我没想到会这么急......
"杰拉尔德": 本来该提前和你说一声，只是一直没找到机会开口。
"克莱芒": 莱蒙德和福尔图娜他们恐怕要难受一阵子了，他们几个孩子一向关系好，这次一定很不好受......
"杰拉尔德": 莱蒙德还太年轻。他来到这儿时还太小，记不住太多事。他还没能理解身为萨卡兹究竟是怎么一回事。
"杰拉尔德": 但他总会了解，总要习惯。
"杰拉尔德": 或许这就是萨卡兹的宿命。
"克莱芒": 宿命不是什么好词。
"杰拉尔德": 啊，你说得有道理，但我找不到别的词来形容。
"杰拉尔德": ......好了，我该去看看爱琳了。
"杰拉尔德": 接下来我们就不是一路了，不如就在这分开吧。
"克莱芒": ......等等，杰拉尔德！
"克莱芒": 我、我可以和你一起走，稍微绕一点路而已，不费什么事！
"克莱芒": 对了，你看，最近正好是花期，我们可以一起去摘点花送给爱琳......！
"克莱芒": 我可以和你们一起......
"杰拉尔德": 不对，克莱芒。你糊涂了。
"克莱芒": 我......！
"杰拉尔德": 你不该从这走。你该走上那边的台阶，往上走，那边的风景会很美。
"克莱芒": ......你们还能看到这么好的风景吗？
"杰拉尔德": ......
"杰拉尔德": 去敲钟吧，克莱芒。别耽误了时候。那里才是你要去的方向。
"杰拉尔德": 以后要多保重，兄弟。

"福尔图娜": 你到底在说什么，菲娜，这和蕾缪安小姐没关系！
(震动)
"德尔菲娜": 你说谎！除了那个拉特兰人，这里还有谁能帮你修好你的守护铳？！
"福尔图娜": 你怎么会这么想？！
"福尔图娜": 我有没有说谎，难道你分不出来？菲娜，难道你不明白我现在的感受吗？
"德尔菲娜": 我多希望我真的能明白，但是小福，我开始搞不懂了！
"德尔菲娜": 光环告诉我你是真诚的，你的痛苦不比我少！
"德尔菲娜": 可如果这是真的，为什么你还能有心情做什么格子饼，你还能毫无芥蒂地与那些拉特兰来的人为伍？
"德尔菲娜": 小福，我真的搞不懂了......
"福尔图娜": 菲娜......
"福尔图娜": 那是因为......我希望大家都能过上好日子，菲娜。
"德尔菲娜": 什么意思？
"福尔图娜": 我们其实没得选，是不是？虽然斯特凡诺爷爷不说，大家也都不和我们谈论，但我其实心里清楚。
"福尔图娜": 拉特兰会让我们回去，我以前偷偷听到大人们说过，我们的修道院其实是很厉害的建筑，拉特兰一定会想要我们回去。
"福尔图娜": 我知道杰拉尔德叔叔他们，可能、可能不能和我们一起走......
"福尔图娜": 但我想再努力一下！如果能让拉特兰的人明白，杰拉尔德叔叔他们都是很好很好的人，或许就能——
"德尔菲娜": 或许能什么？或许他们能同意，让大家一起去拉特兰生活？
"德尔菲娜": 我算是明白了......这就是你总愿意和那个蕾缪安说话的原因？你觉得自己在替其他人充当说客？
(震动)
"德尔菲娜": 你求她了吗？为了能让莱蒙德他们不被抛下，你觉得我们必须要恳求，是不是？
"福尔图娜": 菲娜......
"德尔菲娜": 你想劝他们改变主意，但你成功了吗？
"福尔图娜": 我......我还在努力......
"德尔菲娜": 你不会成功的。
"德尔菲娜": 那只是你的一厢情愿，小福。
"德尔菲娜": 你我和莱蒙德哪里不同？和卡洛琳哪里不同？
"福尔图娜": ......莱蒙德比我能干多了，卡洛琳姐也比我更聪明。
"德尔菲娜": 你看，你自己也清楚。
"德尔菲娜": 他们区分我们，他们承认我们是同胞，却同时贬低我们真正的同胞。
"德尔菲娜": 我不能忍受这些。我宁愿不去这样的拉特兰。
"福尔图娜": ......
"福尔图娜": 可是......菲娜，我们不是说好了，以后一定会走出这片荒野，走到拉特兰去吗？
"福尔图娜": 我们要过不会饿肚子，不会挨冻，到处都能见到鲜花，而不是只能看到单调荒原的日子......
"德尔菲娜": ......小福，那都是小孩子的幻想。
"福尔图娜": 你觉得那已经只是幻想？
"德尔菲娜": 我只是没有你那么乐观。我只知道，自从那些拉特兰人出现，修道院里的气氛越来越奇怪。
"德尔菲娜": 是，我们的日子是过得很难，但我从来不讨厌这样的日子！
"德尔菲娜": 我喜欢听斯特凡诺爷爷每周的布道，也喜欢杰拉尔德叔叔说的那些过去的故事。
"德尔菲娜": 有的时候吃不饱，卡洛琳会偷偷给我们多塞两根肉干，妮娜婶婶会给莱蒙德多加一勺最稠的菜粥，我们就在一起分着把它们吃完......
"德尔菲娜": 我觉得这样很好......
"福尔图娜": 菲娜......
"德尔菲娜": 可是现在呢？
(震动)
"德尔菲娜": 人人都说拉特兰好，可我却只看到那些人把我们原本的生活搅得一团糟！
"福尔图娜": 可是菲娜，你不能把这些都怪到蕾缪安小姐头上，这是迁怒！
"德尔菲娜": 迁怒？或许是吧。
"德尔菲娜": 但是小福，你知道大家私下里在说什么吗？你有留意到最近一段时间，杰拉尔德叔叔他们来的次数越来越少吗？
"德尔菲娜": 你知道在你忙着去给那位蕾缪安小姐送饭，在你忙着做什么该死的格子饼的时候，卡洛琳他们......他们吃的都是些什么吗？
"德尔菲娜": 你什么都不知道。
"福尔图娜": 什么......？等等，菲娜，你在说什么？
"福尔图娜": 卡洛琳姐他们怎么了？我不知道......
"德尔菲娜": 是啊，你什么都不知道。
"德尔菲娜": 是我不好，这怪不了你。毕竟我如果不是亲眼看到，也想不到情况会坏到这个地步。
"德尔菲娜": 小福，如果我们的光环，让你有半点感受到我现在的心情——
"德尔菲娜": 就把你的守护铳给我。
"福尔图娜": 菲娜？你要做什么？
"德尔菲娜": 把它给我。
"德尔菲娜": 我们不需要对着这种东西祈祷。
(震动)
"德尔菲娜": 给我！
"福尔图娜": 你的状态不对，菲娜......这太危险了，我、我不能给你！
"德尔菲娜": 为什么不能？你之前不是还说可以和我一起分享吗？
"福尔图娜": 我是说过，但、但这不是一回事！
"福尔图娜": 你说你搞不懂我，这话该我来说才对......你到底怎么了，你清醒一点，菲娜！
"德尔菲娜": 我很清醒！
(震动)
"德尔菲娜": 我从没有这么清醒过，什么祈祷，什么萨科塔独有的联系，我受够了！
"德尔菲娜": 我不需要这种特殊！我只想——
(震动)
"福尔图娜": 不行......！
(震动)
"福尔图娜": 菲娜，你别这样——！
(震动)
(闪光)
"德尔菲娜": 呃——！！
"福尔图娜": ......欸？
"福尔图娜": 菲娜......？
"德尔菲娜": ......呃......啊，啊啊......
"德尔菲娜": 我只想......大家能，一直在一起......
(震动)
"福尔图娜": 菲娜？你怎么了，你别吓我......
(震动)
"福尔图娜": 菲娜！！

"斯普莉雅": 哟，总算找到你们了。
"斯普莉雅": 怎么样，还顺利吗？
"费德里科": 斯普莉雅，单独行动需要提前告知。
"斯普莉雅": 别这么死板嘛，我也是为了尽快完成任务。
"斯普莉雅": 对了，一个好消息，我找到蕾缪安了，她就在修道院内。
"斯普莉雅": 还有个坏消息——她没打算过来和我们会合。
"费德里科": ......
"斯普莉雅": 那家伙总有自己的想法，我劝不动......
"斯普莉雅": 哎，你别朝我皱眉，有本事你自己去抓她。
"费德里科": 好。
"斯普莉雅": 啊？好什么......等会，你是在开玩笑吧？
"费德里科": 不是。
"斯普莉雅": ......
"里凯莱": 斯普莉雅，教你一个公证所内部小知识。
"斯普莉雅": 什么玩意？
"里凯莱": 费德里科不会开玩笑。他没这个功能。
"斯普莉雅": ......
"费德里科": 我会亲自找到她，并确认她的想法。
"斯普莉雅": ......怎么，难道你觉得我会说谎骗你？
"费德里科": 我无法确保你一定会说实话。
"斯普莉雅": 费德里科。
"斯普莉雅": 我现在可算是知道你为什么上了教皇厅那么多姑娘的黑名单了。
"费德里科": ？
"斯普莉雅": 算了，先不说这个。你们那边怎么样......你们已经和这里的人说上话了？
"修道院居民": 里凯莱先生......？
"修道院居民": 这位也是你们的同伴吗？
"里凯莱": 嗯，没错，我们都是同事。
"年迈的修道院居民": ......年轻的萨科塔，你们还想问什么？
"年迈的修道院居民": 咱们这什么都没有，什么都没有啦......没啥好说的，你们也不该来......
"修道院居民": 妮娜婶婶！怎么能这么说，本来也是我们先联系的拉特兰......当初您不是也不反对吗？
"妮娜": 反对......我没有反对吗？唉，我就该告诉斯特凡诺，让他再别指望拉特兰啦。
(震动)
"妮娜": 对，对，朱利安，把他们赶出去吧！我们不该让拉特兰人来，我们不需要拉特兰人的帮助，就该现在把他们赶出去！
"里凯莱": 呃......
"朱利安": 妮娜婶婶！你冷静一点！
"朱利安": 你到底怎么了，刚刚你不是还说要招待几位客人吗？
"妮娜": 我......我......
"里凯莱": 看起来你们好像需要单独聊聊......有什么我帮得上忙的吗？
"朱利安": 抱、抱歉！妮娜婶婶只是有点激动......呃，帮忙就不必了，我先带她去休息，有事的话可以之后再聊！
"里凯莱": 哦，哦！好好休息！
"里凯莱": 嗯......
"里凯莱": 有点奇怪啊。
"斯普莉雅": 看起来你们这边好像不太顺利。
"斯普莉雅": 刚刚那是怎么回事？
"里凯莱": 原本还好好的，也不知道是怎么了，唔......
"里凯莱": 费德里科，是你要来找这里的居民问话的，你看出什么了吗？
"费德里科": 那位女士的情绪并不稳定，在对话途中改变想法的例子不少见，但当事人完全遗忘之前的对话，并态度骤变，这并非常见情况。
"里凯莱": 你的意思是？
"费德里科": ......我对此有一定猜测。
"费德里科": 仅作为我的个人推测，在可能性上升到足以被讨论前，我会保持缄默。
"斯普莉雅": 那你就别说了。
"斯普莉雅": 除了发现这里的居民有点神经错乱之外，你们总该还有些其他收获吧？
"斯普莉雅": 来吧，男士们。到了该交流的时候了。
"斯普莉雅": 所以说......那位主教阁下，是为了住在这里的萨卡兹，才给我们增加了这么多工作？
"斯普莉雅": 我们应该提过可以接他们回拉特兰吧？他这是为了萨卡兹，硬是把这里的所有人留下来忍冻挨饿？为了萨卡兹，扣押拉特兰特使？
"费德里科": 嗯。
"斯普莉雅": ......认真的？前头刚走一个大逆不道的安多恩，现在又来一位仁慈博爱的主教阁下？
"费德里科": 嗯。
"斯普莉雅": *口哨声*酷哦。
"斯普莉雅": 虽然我也不太在乎什么世仇，不过他这样是不是脑子坏了？
"斯普莉雅": 那就怪不得连蕾缪安都不能答应这种要求了......萨卡兹才在伦蒂尼姆大闹一场，那几个维多利亚大公爵可都恨得牙痒痒呢。
"斯普莉雅": 在这个时间点，万一和萨卡兹牵扯不清这事传出去，教宗阁下的万国联合计划就完蛋了。
"里凯莱": 听起来挺严重的。
"里凯莱": 费德里科，我记得蕾缪安和奥伦的任务是给这里提供支援，并将这座修道院收回拉特兰吧？
"费德里科": 对。
"斯普莉雅": 合理的判断，毕竟是能作为战堡使用的建筑，背景也很特殊，还是很有用处的。
"斯普莉雅": 特别是当我们想和伊比利亚恢复联系的时候。
"里凯莱": 至少目前看来，没有在这大动干戈的必要。
"里凯莱": 对了，费德里科，你刚刚是不是认出那个萨卡兹了？
"费德里科": 嗯。
"里凯莱": 他是什么人？
"费德里科": 雇佣兵。
"斯普莉雅": 你们俩的对话就像“晚上吃什么？”“吃饭。”一样无聊。
"斯普莉雅": 费德里科，想要你多说一个字得付多少钱？你开个价，我回去找教宗阁下报销。
"费德里科": 我没有考虑过这个问题。
"里凯莱": 放过费德里科吧。对了，既然蕾缪安没什么问题，那......奥伦呢？
"斯普莉雅": 那家伙一早就跑了，蕾缪安也不知道他的下落。
"斯普莉雅": 他那个人最会自保，要我说......他现在指不定在哪打他的算盘呢。
"里凯莱": 嗯？嗯......
"斯普莉雅": 咦？
"斯普莉雅": ......哪里来的钟声？
"费德里科": 这是通知布道将要开始的钟声。
"里凯莱": 我们要去参加吗？趁布道的时候修道院内没人，是不是该去找找奥伦......
"费德里科": 不。我会参加布道。
"斯普莉雅": 哇哦，出人意料。
"费德里科": 我需要确认修道院的整体状况，以便判断这里的系统在目前的状况下是否仍能够稳定运作，以及是否需要外力介入。
"费德里科": 参加一场聚集大量居民的布道会是一个很好的观察机会。
"里凯莱": 啊......
"里凯莱": 要这么说的话确实也是，嗯，不过我还以为你会优先处理更加明确的问题，就比如奥伦......你是不是在担心什么，费德里科？
"费德里科": ......你多虑了。
"费德里科": 我只会以我认为合理的方式履行我的职责。

"修道院居民": 嗯？钟声？
"修道院居民": 奇怪......还不到主教阁下平常布道的日子，怎么这时候敲钟了......
"修道院居民": 啊，克莱芒！你来得正好，这是出了什么事啊？
"克莱芒": 钟是主教阁下吩咐敲的，阁下今天临时决定要布道。
"克莱芒": 大家快去礼拜堂吧。
"修道院居民": 这......是该去的，可我们手上的活还没干完......
"修道院居民": 怎么忽然要布道了？是不是和那些拉特兰来的人有关？他们是不是......呃，是不是来找我们麻烦的？
"克莱芒": 为什么会这么问......？
"修道院居民": 也没什么，你就说是不是吧......哎，你说，是不是因为杰拉尔德他们在，所以人家不同意我们去拉特兰？
"克莱芒": ......是谁这么说的？
"修道院居民": 大家都瞎猜呢。萨卡兹和萨科塔不是关系差吗，大家就猜，要不是因为这个，说不准现在我们已经到拉特兰了......
"克莱芒": ......
"修道院居民": 唉，现在说这些没意思，就是不知道主教阁下是怎么想的......
"修道院居民": 克莱芒，我刚刚说的你就当没听过，大伙也没怪谁，这事也怪不了谁，就是......天气冷了，这个冬天不好过。
"克莱芒": 嗯，我理解......
"修道院居民": 大伙都想着要是真能去拉特兰，那儿、那儿应该能找到活干，有吃有穿吧？
"修道院居民": 要是拉特兰附近有林子就好了，至少能多捡点树枝回来生火，让年纪小点的孩子冬天暖和些。
"克莱芒": 是啊，你说得对，至少让孩子们暖和些......
"克莱芒": 可我们到了拉特兰，真的就会有好日子吗......？
"修道院居民": 应该吧......要不然咱们还能上哪去？
"修道院居民": 你也别太担心了，克莱芒......神会保佑我们的。
"克莱芒": ......
"修道院居民": 什么声音......这又是怎么了......？
"克莱芒": （这声音是......）
"克莱芒": （铳声？）

"修道院主教": ......
"修道院主教": 克莱芒已经敲响钟声......
"修道院主教": 接下来......我该准备最后的......
"修道院主教": 是谁来了？
"修道院主教": 福尔图娜，孩子，是你吗？
"修道院主教": 你一向很准时......其他人还没到，请先坐下吧。
"修道院主教": 我还有些准备要做......
(震动)
"修道院主教": 福尔图娜？！
"修道院主教": 你这是......

"福尔图娜": ......斯特凡诺......爷爷......

"福尔图娜": 帮帮我......
染血的女孩一步一步走向愕然的老人。

蒙蒙的光终于照亮女孩的脸，让人看清那面庞上的点点血迹，以及从饱满的额头上钻出的黑色犄角。
女孩身前是蒙着光的持铳圣徒像，身后却留下一条抹不去的血色之路。
萨科塔的血滴落在礼拜堂的地板上，发出沉闷的碎裂声，惊人梦醒，震耳欲聋。
用于祈祷的守护铳终于从紧握它的那只手中滑落。

"福尔图娜": 菲娜、菲娜她......
"福尔图娜": ......呜......
"修道院主教": 好孩子，别哭，德尔菲娜她怎么了？
"福尔图娜": 她受伤了......！
"福尔图娜": 是我、是我弄伤了她......斯特凡诺爷爷，救救菲娜！
"克莱芒": 主教阁下！您没事吧？发生了什么——
"克莱芒": ......福尔图娜？你怎么在这......你身上这是......血......？
"克莱芒": 你......
(震动)
"里凯莱": 发生什么事了——？！
"里凯莱": 呃，这是......
"斯普莉雅": 喂喂喂，真的假的......
"斯普莉雅": ......这可不是闹着玩的。
"克莱芒": 是你们......这到底是怎么一回事？！
"克莱芒": 为什么福尔图娜她会、她会长出这样黑色的角？
"斯普莉雅": ......
执行者在其他人的注视下步入礼拜堂。
堕天使仍在悲泣，斯特凡诺却不得不抬头仰视来者。
"费德里科": 她的光环反应出现波动，头颅前顶部生角，这是非常明确的堕天表现。
"费德里科": 她违反了戒律。



04.HE-3 岂可空手回天府？


这是一种难以形容的感觉。
额头上传来古怪的痒意，头顶的光环不稳定地明灭。
眼前的一切都逐渐开始变得黯淡。
福尔图娜能看到老迈的主教难以置信的双眼，她能听到周围嘈杂的人声。
但当她像之前每一次那样，试图感受面前的老人的想法，对方的心情却无法再流入她的心灵，一丝一毫也不能——
她感受不到其他萨科塔了。
她已不再是他们之中的一员。

"克莱芒": 堕天......？
"克莱芒": 这是什么意思......福尔图娜她会怎么样？她、她是病了吗？
"里凯莱": 这个回头再解释，先处理眼下最要紧的问题——
"福尔图娜": 斯特凡诺爷爷......！
(震动)
"福尔图娜": 救救菲娜！求您了，快、快救救她......！
"修道院主教": 孩子，不要慌，好好说......到底是怎么了？
"福尔图娜": 菲娜、菲娜流了好多血，我怎么也止不住......我找不到人帮忙......
